Year,Series,Principal Export,Main Country of Destination,Units,Value
2017,Quantity (in tonnes kilogram),Beef,SOLOMON ISLANDS,kilogram,71
2017,Quantity (in tonnes kilogram),Cocoa,MALAYSIA,kilogram,896
2017,Quantity (in tonnes kilogram),Cocoa,AUSTRALIA,kilogram,90
2017,Quantity (in tonnes kilogram),Cocoa,BELGIUM,kilogram,13
2017,Quantity (in tonnes kilogram),Cocoa,UNITED KINGDOM,kilogram,6
2017,Quantity (in tonnes kilogram),Cocoa,NEW ZEALAND,kilogram,5
2017,Quantity (in tonnes kilogram),Coconut oil,MALAYSIA,kilogram,5107
2017,Quantity (in tonnes kilogram),Coconut oil,"TAIWAN, PROVINCE OF CHINA",kilogram,840
2017,Quantity (in tonnes kilogram),Coconut oil,NEW ZEALAND,kilogram,617
2017,Quantity (in tonnes kilogram),Coconut oil,AUSTRALIA,kilogram,128
2017,Quantity (in tonnes kilogram),Coconut oil,NEW CALEDONIA,kilogram,53
2017,Quantity (in tonnes kilogram),Copra,PHILIPPINES,kilogram,21225
2017,Quantity (in tonnes kilogram),Copra,BANGLADESH,kilogram,1218
2017,Quantity (in tonnes kilogram),Copra,AUSTRALIA,kilogram,0
2017,Quantity (in tonnes kilogram),Copra,NEW CALEDONIA,kilogram,0
2017,Quantity (in tonnes kilogram),Kava,KIRIBATI,kilogram,375
2017,Quantity (in tonnes kilogram),Kava,FIJI,kilogram,246
2017,Quantity (in tonnes kilogram),Kava,UNITED STATES OF AMERICA,kilogram,270
2017,Quantity (in tonnes kilogram),Kava,NEW CALEDONIA,kilogram,209
2017,Quantity (in tonnes kilogram),Kava,"CHINA, PEOPLES REPUBLIC OF",kilogram,25
2017,Quantity (in tonnes kilogram),Wood,"CHINA, PEOPLES REPUBLIC OF",kilogram,108
2017,Quantity (in tonnes kilogram),Wood,HONG KONG,kilogram,21
2017,Quantity (in tonnes kilogram),Wood,AUSTRALIA,kilogram,6
2017,Quantity (in tonnes kilogram),Wood,NEW CALEDONIA,kilogram,1
2017,Quantity (in tonnes kilogram),Wood,FIJI,kilogram,0
2018,Quantity (in tonnes kilogram),,,kilogram,12742
2018,Quantity (in tonnes kilogram),Beef,,kilogram,134
2018,Quantity (in tonnes kilogram),Cocoa,,kilogram,1059
2018,Quantity (in tonnes kilogram),Coconut oil,,kilogram,3669
2018,Quantity (in tonnes kilogram),Copra,,kilogram,6940
2018,Quantity (in tonnes kilogram),Kava,,kilogram,811
2018,Quantity (in tonnes kilogram),Wood,,kilogram,128
2018,Quantity (in tonnes kilogram),Beef,JAPAN,kilogram,87
2018,Quantity (in tonnes kilogram),Beef,SOLOMON ISLANDS,kilogram,19
2018,Quantity (in tonnes kilogram),Beef,PAPUA NEW GUINEA,kilogram,14
2018,Quantity (in tonnes kilogram),Beef,AUSTRALIA,kilogram,14
2018,Quantity (in tonnes kilogram),Cocoa,MALAYSIA,kilogram,823
2018,Quantity (in tonnes kilogram),Cocoa,INDONESIA,kilogram,95
2018,Quantity (in tonnes kilogram),Cocoa,ITALY,kilogram,42
2018,Quantity (in tonnes kilogram),Cocoa,AUSTRALIA,kilogram,60
2018,Quantity (in tonnes kilogram),Cocoa,NEW ZEALAND,kilogram,20
2018,Quantity (in tonnes kilogram),Coconut oil,MALAYSIA,kilogram,3400
2018,Quantity (in tonnes kilogram),Coconut oil,NEW ZEALAND,kilogram,149
2018,Quantity (in tonnes kilogram),Coconut oil,AUSTRALIA,kilogram,112
2018,Quantity (in tonnes kilogram),Coconut oil,NEW CALEDONIA,kilogram,4
2018,Quantity (in tonnes kilogram),Coconut oil,FRENCH POLYNESIA,kilogram,4
2018,Quantity (in tonnes kilogram),Copra,PHILIPPINES,kilogram,4627
2018,Quantity (in tonnes kilogram),Copra,BANGLADESH,kilogram,2313
2018,Quantity (in tonnes kilogram),Copra,AUSTRALIA,kilogram,0
2018,Quantity (in tonnes kilogram),Kava,UNITED STATES OF AMERICA,kilogram,278
2018,Quantity (in tonnes kilogram),Kava,FIJI,kilogram,185
2018,Quantity (in tonnes kilogram),Kava,KIRIBATI,kilogram,164
2018,Quantity (in tonnes kilogram),Kava,NEW CALEDONIA,kilogram,136
2018,Quantity (in tonnes kilogram),Kava,"CHINA, PEOPLES REPUBLIC OF",kilogram,40
2018,Quantity (in tonnes kilogram),Wood,HONG KONG,kilogram,26
2018,Quantity (in tonnes kilogram),Wood,"CHINA, PEOPLES REPUBLIC OF",kilogram,67
2018,Quantity (in tonnes kilogram),Wood,VIET NAM,kilogram,10
2018,Quantity (in tonnes kilogram),Wood,NEW CALEDONIA,kilogram,26
2018,Quantity (in tonnes kilogram),Wood,FIJI,kilogram,0
2019,Quantity (in tonnes kilogram),,,kilogram,14242
2019,Quantity (in tonnes kilogram),Beef,,kilogram,170
2019,Quantity (in tonnes kilogram),Cocoa,,kilogram,1708
2019,Quantity (in tonnes kilogram),Coconut oil,,kilogram,3498
2019,Quantity (in tonnes kilogram),Copra,,kilogram,7426
2019,Quantity (in tonnes kilogram),Kava,,kilogram,875
2019,Quantity (in tonnes kilogram),Wood,,kilogram,566
2019,Quantity (in tonnes kilogram),Beef,AUSTRALIA,kilogram,84
2019,Quantity (in tonnes kilogram),Beef,JAPAN,kilogram,71
2019,Quantity (in tonnes kilogram),Beef,SOLOMON ISLANDS,kilogram,15
2019,Quantity (in tonnes kilogram),Cocoa,MALAYSIA,kilogram,1578
2019,Quantity (in tonnes kilogram),Cocoa,INDONESIA,kilogram,58
2019,Quantity (in tonnes kilogram),Cocoa,AUSTRALIA,kilogram,24
2019,Quantity (in tonnes kilogram),Cocoa,NEW ZEALAND,kilogram,13
2019,Quantity (in tonnes kilogram),Cocoa,UNITED KINGDOM,kilogram,15
2019,Quantity (in tonnes kilogram),Ccoconut oil,MALAYSIA,kilogram,1540
2019,Quantity (in tonnes kilogram),Ccoconut oil,BANGLADESH,kilogram,1444
2019,Quantity (in tonnes kilogram),Ccoconut oil,INDIA,kilogram,336
2019,Quantity (in tonnes kilogram),Ccoconut oil,SINGAPORE,kilogram,84
2019,Quantity (in tonnes kilogram),Ccoconut oil,NEW ZEALAND,kilogram,42
2019,Quantity (in tonnes kilogram),Copra,PHILIPPINES,kilogram,7071
2019,Quantity (in tonnes kilogram),Copra,BANGLADESH,kilogram,354
2019,Quantity (in tonnes kilogram),Copra,AUSTRALIA,kilogram,0
2019,Quantity (in tonnes kilogram),Kava,FIJI,kilogram,303
2019,Quantity (in tonnes kilogram),Kava,KIRIBATI,kilogram,182
2019,Quantity (in tonnes kilogram),Kava,NEW CALEDONIA,kilogram,154
2019,Quantity (in tonnes kilogram),Kava,UNITED STATES OF AMERICA,kilogram,116
2019,Quantity (in tonnes kilogram),Kava,"CHINA, PEOPLES REPUBLIC OF",kilogram,44
2019,Quantity (in tonnes kilogram),Wood,"CHINA, PEOPLES REPUBLIC OF",kilogram,529
2019,Quantity (in tonnes kilogram),Wood,VIET NAM,kilogram,3
2019,Quantity (in tonnes kilogram),Wood,NEW CALEDONIA,kilogram,30
2019,Quantity (in tonnes kilogram),Wood,AUSTRALIA,kilogram,2
2019,Quantity (in tonnes kilogram),Wood,FRANCE,kilogram,0
2020,Quantity (in tonnes kilogram),,,kilogram,55623
2020,Quantity (in tonnes kilogram),Beef,,kilogram,294
2020,Quantity (in tonnes kilogram),Cocoa,,kilogram,46906
2020,Quantity (in tonnes kilogram),Coconut Oil,,kilogram,1302
2020,Quantity (in tonnes kilogram),Copra,,kilogram,5901
2020,Quantity (in tonnes kilogram),Kava,,kilogram,762
2020,Quantity (in tonnes kilogram),Wood,,kilogram,458
2020,Quantity (in tonnes kilogram),Beef,JAPAN,kilogram,83
2020,Quantity (in tonnes kilogram),Beef,AUSTRALIA,kilogram,43
2020,Quantity (in tonnes kilogram),Beef,SOLOMON ISLANDS,kilogram,28
2020,Quantity (in tonnes kilogram),Cocoa,MALAYSIA,kilogram,772
2020,Quantity (in tonnes kilogram),Cocoa,INDONESIA,kilogram,120
2020,Quantity (in tonnes kilogram),Cocoa,ITALY,kilogram,15
2020,Quantity (in tonnes kilogram),Cocoa,NEW ZEALAND,kilogram,3
2020,Quantity (in tonnes kilogram),Cocoa,AUSTRALIA,kilogram,2
2020,Quantity (in tonnes kilogram),Coconut oil,SRI LANKA,kilogram,941
2020,Quantity (in tonnes kilogram),Coconut oil,MALAYSIA,kilogram,578
2020,Quantity (in tonnes kilogram),Coconut oil,AUSTRALIA,kilogram,125
2020,Quantity (in tonnes kilogram),Coconut oil,NETHERLANDS,kilogram,45
2020,Quantity (in tonnes kilogram),Coconut oil,SINGAPORE,kilogram,49
2020,Quantity (in tonnes kilogram),Copra,PHILIPPINES,kilogram,7044
2020,Quantity (in tonnes kilogram),Copra,BANGLADESH,kilogram,749
2020,Quantity (in tonnes kilogram),Kava,FIJI,kilogram,305
2020,Quantity (in tonnes kilogram),Kava,NEW CALEDONIA,kilogram,172
2020,Quantity (in tonnes kilogram),Kava,KIRIBATI,kilogram,109
2020,Quantity (in tonnes kilogram),Kava,UNITED STATES OF AMERICA,kilogram,65
2020,Quantity (in tonnes kilogram),Kava,"CHINA, PEOPLES REPUBLIC OF",kilogram,95
