Year,Series,Major Industry,Value
2018,Proportion of industry (percentage),Administrative and support service activities,                 1 
2018,Proportion of industry (percentage),"Agriculture, forestry and fishing",                 0 
2018,Proportion of industry (percentage),"Arts, entertainment and recreation",                 0 
2018,Proportion of industry (percentage),Construction,                 1 
2018,Proportion of industry (percentage),Education,                 0 
2018,Proportion of industry (percentage),"Electricity, gas, steam and air conditioning supply",                 1 
2018,Proportion of industry (percentage),Financial and insurance activities,                 1 
2018,Proportion of industry (percentage),Human health and social work activities,                 0 
2018,Proportion of industry (percentage),Information and communication,                 2 
2018,Proportion of industry (percentage),Manufacturing,                 1 
2018,Proportion of industry (percentage),Mining and quarrying,                 0 
2018,Proportion of industry (percentage),Other service activities,                 0 
2018,Proportion of industry (percentage),"Professional, scientific and technical activities",                 0 
2018,Proportion of industry (percentage),Public administration and defence; compulsory social security,                 6 
2018,Proportion of industry (percentage),Real estate activities,                 0 
2018,Proportion of industry (percentage),Transportation and storage,                 2 
2018,Proportion of industry (percentage),"Water supply; sewerage, waste management and remediation activities",                 0 
2018,Proportion of industry (percentage),Wholesale and retail trade; repair of motor vehicles and motorcycles,               12 
2018,Proportion of industry (percentage),Not available,               69 
2019,Total value in VT (millions),,"      352,346 "
2019,Total value in VT (millions),Accommodation and food service activities,"          6,876 "
2019,Total value in VT (millions),Administrative and support service activities,"          4,185 "
2019,Total value in VT (millions),"Agriculture, forestry and fishing","          1,514 "
2019,Total value in VT (millions),"Arts, entertainment and recreation",             480 
2019,Total value in VT (millions),Construction,"          3,686 "
2019,Total value in VT (millions),Education,               18 
2019,Total value in VT (millions),"Electricity, gas, steam and air conditioning supply","          4,132 "
2019,Total value in VT (millions),Financial and insurance activities,"          1,840 "
2019,Total value in VT (millions),Human health and social work activities,             216 
2019,Total value in VT (millions),Information and communication,"          6,248 "
2019,Total value in VT (millions),Manufacturing,"          4,652 "
2019,Total value in VT (millions),Mining and quarrying,             795 
2019,Total value in VT (millions),Other service activities,               25 
2019,Total value in VT (millions),"Professional, scientific and technical activities","          1,186 "
2019,Total value in VT (millions),Public administration and defence; compulsory social security,"        17,241 "
2019,Total value in VT (millions),Real estate activities,"          1,048 "
2019,Total value in VT (millions),Transportation and storage,"          7,835 "
2019,Total value in VT (millions),"Water supply; sewerage, waste management and remediation activities",               74 
2019,Total value in VT (millions),Wholesale and retail trade; repair of motor vehicles and motorcycles,"        43,188 "
2019,Total value in VT (millions),Not available,"      247,109 "
2019,Proportion of industry (percentage),Accommodation and food service activities,                 2 
2019,Proportion of industry (percentage),Administrative and support service activities,                 1 
2019,Proportion of industry (percentage),"Agriculture, forestry and fishing",                 0 
2019,Proportion of industry (percentage),"Arts, entertainment and recreation",                 0 
2019,Proportion of industry (percentage),Construction,                 1 
2019,Proportion of industry (percentage),Education,                 0 
2019,Proportion of industry (percentage),"Electricity, gas, steam and air conditioning supply",                 1 
2019,Proportion of industry (percentage),Financial and insurance activities,                 1 
2019,Proportion of industry (percentage),Human health and social work activities,                 0 
2019,Proportion of industry (percentage),Information and communication,                 2 
2019,Proportion of industry (percentage),Manufacturing,                 1 
2019,Proportion of industry (percentage),Mining and quarrying,                 0 
2019,Proportion of industry (percentage),Other service activities,                 0 
2019,Proportion of industry (percentage),"Professional, scientific and technical activities",                 0 
2019,Proportion of industry (percentage),Public administration and defence; compulsory social security,                 5 
2019,Proportion of industry (percentage),Real estate activities,                 0 
2019,Proportion of industry (percentage),Transportation and storage,                 2 
2019,Proportion of industry (percentage),"Water supply; sewerage, waste management and remediation activities",                 0 
2019,Proportion of industry (percentage),Wholesale and retail trade; repair of motor vehicles and motorcycles,               12 
2019,Proportion of industry (percentage),Not available,               70 
2020,Total value in VT (millions),,"      310,901 "
2020,Total value in VT (millions),Accommodation and food service activities,"          3,017 "
2020,Total value in VT (millions),Administrative and support service activities,"          3,101 "
2020,Total value in VT (millions),"Agriculture, forestry and fishing","          1,309 "
2020,Total value in VT (millions),"Arts, entertainment and recreation",             397 
2020,Total value in VT (millions),Construction,"          4,156 "
2020,Total value in VT (millions),Education,               13 
2020,Total value in VT (millions),"Electricity, gas, steam and air conditioning supply","          3,698 "
2020,Total value in VT (millions),Financial and insurance activities,"          1,690 "
2020,Total value in VT (millions),Human health and social work activities,             181 
2020,Total value in VT (millions),Information and communication,"          6,806 "
2020,Total value in VT (millions),Manufacturing,"          4,134 "
2020,Total value in VT (millions),Mining and quarrying,             616 
2020,Total value in VT (millions),Other service activities,               24 
2020,Total value in VT (millions),"Professional, scientific and technical activities","          1,021 "
2020,Total value in VT (millions),Public administration and defence; compulsory social security,"        16,776 "
2020,Total value in VT (millions),Real estate activities,             809 
2020,Total value in VT (millions),Transportation and storage,"          4,691 "
2020,Total value in VT (millions),"Water supply; sewerage, waste management and remediation activities",                 3 
2020,Total value in VT (millions),Wholesale and retail trade; repair of motor vehicles and motorcycles,"        36,646 "
2020,Total value in VT (millions),Not available,"      221,811 "
2020,Proportion of industry (percentage),Accommodation and food service activities,                 1 
2020,Proportion of industry (percentage),Administrative and support service activities,                 1 
2020,Proportion of industry (percentage),"Agriculture, forestry and fishing",                 0 
2020,Proportion of industry (percentage),"Arts, entertainment and recreation",                 0 
2020,Proportion of industry (percentage),Construction,                 1 
2020,Proportion of industry (percentage),Education,                 0 
2020,Proportion of industry (percentage),"Electricity, gas, steam and air conditioning supply",                 1 
2020,Proportion of industry (percentage),Financial and insurance activities,                 1 
2020,Proportion of industry (percentage),Human health and social work activities,                 0 
2020,Proportion of industry (percentage),Information and communication,                 2 
2020,Proportion of industry (percentage),Manufacturing,                 1 
2020,Proportion of industry (percentage),Mining and quarrying,                 0 
2020,Proportion of industry (percentage),Other service activities,                 0 
2020,Proportion of industry (percentage),"Professional, scientific and technical activities",                 0 
2020,Proportion of industry (percentage),Public administration and defence; compulsory social security,                 5 
2020,Proportion of industry (percentage),Real estate activities,                 0 
2020,Proportion of industry (percentage),Transportation and storage,                 2 
2020,Proportion of industry (percentage),"Water supply; sewerage, waste management and remediation activities",                 0 
