Year,Major Industry,Minor Industry,Value
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",4
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,14
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,10
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",13
2015,Information and communication,Satellite telecommunications activities,8
2015,Manufacturing,Sawmilling and planing of wood,2
2015,Transportation and storage,Sea and coastal water transport,39
2015,Education,Secondary education,
2015,Administrative and support service activities,Security systems service activities,
2015,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2015,Accommodation and food service activities,Short term accommodation activities,110
2015,"Agriculture, forestry and fishing",Silviculture and other forestry activities,1
2015,Information and communication,Sound recording and music publishing activities,3
2015,"Professional, scientific and technical activities",Specialized design activities,5
2015,Manufacturing,"Spinning, weaving and finishing of textiles",
2015,"Arts, entertainment and recreation",Sports activities,15
2015,Transportation and storage,Support activities for transportation,140
2015,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,
2015,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1
2015,Information and communication,Television programming and broadcasting activities,4
2015,Administrative and support service activities,Travel agency and tour operator activities,52
2015,Financial and insurance activities,"Trusts, funds and similar financial entities",4
2015,"Professional, scientific and technical activities",Veterinary activities,2
2015,Transportation and storage,Warehousing and storage,11
2015,"Water supply; sewerage, waste management and remediation activities",Waste collection,3
2015,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2015,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",3
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,6
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",1
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,10
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3
2015,Information and communication,Wired telecommunications activities,1
2015,Information and communication,Wireless telecommunications activities,9
2016,,,4083
2016,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",30
2016,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",18
2016,Financial and insurance activities,Activities auxiliary to insurance and pension funding,16
2016,Other service activities,"Activities of business, employers and professional membership organizations",1
2016,Administrative and support service activities,Activities of call centres,
2016,Administrative and support service activities,Activities of employment placement agencies,6
2016,"Professional, scientific and technical activities",Activities of head offices,17
2016,"Professional, scientific and technical activities",Advertising,15
2016,"Agriculture, forestry and fishing",Animal production,9
2016,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,36
2016,Accommodation and food service activities,Beverage serving activities,84
2016,Construction,Building completion and finishing,2
2016,Manufacturing,Building of ships and boats,2
2016,Administrative and support service activities,Business support service activities n.e.c.,11
2016,Manufacturing,Casting of metals,1
2016,Administrative and support service activities,Cleaning activities,19
2016,Information and communication,"Computer programming, consultancy and related activities",7
2016,Construction,Construction of buildings,164
2016,Construction,Construction of other civil engineering projects,6
2016,Construction,Construction of roads and railways,13
2016,Construction,Construction of utility projects,2
2016,Transportation and storage,Courier activities,3
2016,"Arts, entertainment and recreation","Creative, arts and entertainment activities",7
2016,Information and communication,"Data processing, hosting and related activities; web portals",2
2016,Construction,Demolition and site preparation,5
2016,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",8
2016,Construction,"Electrical, plumbing and other construction installation activities",44
2016,Accommodation and food service activities,Event catering and other food service activities,12
2016,"Agriculture, forestry and fishing",Fishing,4
2016,"Arts, entertainment and recreation",Gambling and betting activities,1
2016,"Agriculture, forestry and fishing",Growing of non-perennial crops,1
2016,"Agriculture, forestry and fishing",Growing of perennial crops,
2016,Education,Higher education,5
2016,Human health and social work activities,Hospital activities,1
2016,Transportation and storage,Inland water transport,
2016,Administrative and support service activities,Landscape care and maintenance service activities,9
2016,"Professional, scientific and technical activities",Legal activities,25
2016,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2016,"Agriculture, forestry and fishing",Logging,4
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,73
2016,"Professional, scientific and technical activities",Management consultancy activities,82
2016,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2016,Manufacturing,Manufacture of basic iron and steel,6
2016,Manufacturing,Manufacture of beverages,12
2016,Manufacturing,Manufacture of dairy products,1
2016,Manufacturing,Manufacture of furniture,2
2016,Manufacturing,Manufacture of general-purpose machinery,1
2016,Manufacturing,Manufacture of knitted and crocheted apparel,1
2016,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,7
2016,Manufacturing,Manufacture of other chemical products,13
2016,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2016,Manufacturing,Manufacture of other food products,33
2016,Manufacturing,Manufacture of paper and paper products,4
2016,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",15
2016,Manufacturing,Manufacture of plastics products,1
2016,Manufacturing,Manufacture of prepared animal feeds,
2016,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",20
2016,Manufacturing,Manufacture of refined petroleum products,1
2016,Manufacturing,Manufacture of rubber products,2
2016,Manufacturing,Manufacture of sports goods,
2016,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",5
2016,Manufacturing,Manufacture of vegetable and animal oils and fats,5
2016,Manufacturing,"Manufacture of wearing apparel, except fur apparel",12
2016,Human health and social work activities,Medical and dental practice activities,22
2016,Mining and quarrying,Mining and quarrying n.e.c.,2
2016,"Agriculture, forestry and fishing",Mixed farming,3
2016,Financial and insurance activities,Monetary intermediation,5
2016,Information and communication,"Motion picture, video and television programme activities",1
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,3
2016,Administrative and support service activities,Office administrative and support activities,13
2016,Administrative and support service activities,Organization of conventions and trade shows,5
2016,"Arts, entertainment and recreation",Other amusement and recreation activities,45
2016,Education,Other education,20
2016,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",57
2016,Human health and social work activities,Other human health activities,29
2016,Transportation and storage,Other land transport,633
2016,Manufacturing,Other manufacturing n.e.c.,5
2016,Other service activities,Other personal service activities,30
2016,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",124
2016,Administrative and support service activities,Other reservation service and related activities,2
2016,Construction,Other specialized construction activities,21
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,17
2016,Information and communication,Other telecommunications activities,11
2016,Transportation and storage,Passenger air transport,10
2016,"Professional, scientific and technical activities",Photographic activities,19
2016,"Agriculture, forestry and fishing",Plant propagation,
2016,Transportation and storage,Postal activities,5
2016,Education,Pre-primary and primary education,12
2016,Manufacturing,Printing and service activities related to printing,16
2016,Administrative and support service activities,Private security activities,35
2016,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2016,Manufacturing,Processing and preserving of fruit and vegetables,1
2016,Manufacturing,Processing and preserving of meat,1
2016,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2016,Information and communication,"Publishing of books, periodicals and other publishing activities",5
2016,Mining and quarrying,"Quarrying of stone, sand and clay",6
2016,Information and communication,Radio broadcasting,2
2016,Real estate activities,Real estate activities on a fee or contract basis,73
2016,Real estate activities,Real estate activities with own or leased property,8
2016,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,4
2016,Administrative and support service activities,Renting and leasing of motor vehicles,31
2016,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",46
2016,Administrative and support service activities,Renting and leasing of personal and household goods,4
2016,Other service activities,Repair of computers and communication equipment,18
2016,Manufacturing,"Repair of fabricated metal products, machinery and equipment",48
2016,Other service activities,Repair of personal and household goods,13
2016,Information and communication,Reproduction of recorded media,
2016,Accommodation and food service activities,Restaurants and mobile food service activities,331
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,552
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,21
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,12
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",24
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,16
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,281
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,51
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,3
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",5
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,19
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,12
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",10
2016,Information and communication,Satellite telecommunications activities,8
2016,Manufacturing,Sawmilling and planing of wood,4
2016,Transportation and storage,Sea and coastal water transport,52
2016,Education,Secondary education,
2016,Administrative and support service activities,Security systems service activities,
2016,"Water supply; sewerage, waste management and remediation activities",Sewerage,1
2016,Accommodation and food service activities,Short term accommodation activities,126
2016,"Agriculture, forestry and fishing",Silviculture and other forestry activities,1
2016,Information and communication,Sound recording and music publishing activities,1
2016,"Professional, scientific and technical activities",Specialized design activities,6
2016,Manufacturing,"Spinning, weaving and finishing of textiles",
2016,"Arts, entertainment and recreation",Sports activities,14
2016,Transportation and storage,Support activities for transportation,120
2016,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,
2016,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1
