Year,Major Industry,Minor Industry,Value
2020,Administrative and support service activities,Private security activities,31
2020,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",1
2020,Manufacturing,Processing and preserving of fruit and vegetables,
2020,Manufacturing,Processing and preserving of meat,1
2020,Public administration and defence; compulsory social security,Provision of services to the community as a whole,4
2020,Information and communication,"Publishing of books, periodicals and other publishing activities",2
2020,Mining and quarrying,"Quarrying of stone, sand and clay",21
2020,Information and communication,Radio broadcasting,2
2020,Real estate activities,Real estate activities on a fee or contract basis,112
2020,Real estate activities,Real estate activities with own or leased property,11
2020,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,5
2020,Administrative and support service activities,Renting and leasing of motor vehicles,37
2020,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",48
2020,Administrative and support service activities,Renting and leasing of personal and household goods,6
2020,Other service activities,Repair of computers and communication equipment,14
2020,Manufacturing,"Repair of fabricated metal products, machinery and equipment",52
2020,Other service activities,Repair of personal and household goods,19
2020,Information and communication,Reproduction of recorded media,
2020,Accommodation and food service activities,Restaurants and mobile food service activities,286
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,548
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,30
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,12
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",66
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,9
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,495
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,45
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,7
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",10
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,17
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,15
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",20
2020,Information and communication,Satellite telecommunications activities,3
2020,Manufacturing,Sawmilling and planing of wood,2
2020,Transportation and storage,Sea and coastal water transport,46
2020,Education,Secondary education,1
2020,Administrative and support service activities,Security systems service activities,2
2020,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2020,Accommodation and food service activities,Short term accommodation activities,140
2020,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2020,Information and communication,Sound recording and music publishing activities,4
2020,"Professional, scientific and technical activities",Specialized design activities,5
2020,Manufacturing,"Spinning, weaving and finishing of textiles",2
2020,"Arts, entertainment and recreation",Sports activities,9
2020,Transportation and storage,Support activities for transportation,131
2020,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1
2020,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1
2020,Information and communication,Television programming and broadcasting activities,3
2020,Administrative and support service activities,Travel agency and tour operator activities,79
2020,Financial and insurance activities,"Trusts, funds and similar financial entities",7
2020,"Professional, scientific and technical activities",Veterinary activities,2
2020,Transportation and storage,Warehousing and storage,14
2020,"Water supply; sewerage, waste management and remediation activities",Waste collection,1
2020,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2020,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",4
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,6
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",2
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,21
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3
2020,Information and communication,Wired telecommunications activities,2
2020,Information and communication,Wireless telecommunications activities,11
2021,,,2500
2021,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",17
2021,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",9
2021,Financial and insurance activities,Activities auxiliary to insurance and pension funding,3
2021,Other service activities,"Activities of business, employers and professional membership organizations",
2021,Administrative and support service activities,Activities of call centres,1
2021,Administrative and support service activities,Activities of employment placement agencies,1
2021,"Professional, scientific and technical activities",Activities of head offices,7
2021,"Professional, scientific and technical activities",Advertising,14
2021,"Agriculture, forestry and fishing",Animal production,5
2021,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,20
2021,Accommodation and food service activities,Beverage serving activities,44
2021,Construction,Building completion and finishing,5
2021,Manufacturing,Building of ships and boats,2
2021,Administrative and support service activities,Business support service activities n.e.c.,11
2021,Manufacturing,Casting of metals,
2021,Administrative and support service activities,Cleaning activities,8
2021,Information and communication,"Computer programming, consultancy and related activities",10
2021,Construction,Construction of buildings,152
2021,Construction,Construction of other civil engineering projects,2
2021,Construction,Construction of roads and railways,11
2021,Construction,Construction of utility projects,2
2021,Transportation and storage,Courier activities,
2021,"Arts, entertainment and recreation","Creative, arts and entertainment activities",6
2021,Information and communication,"Data processing, hosting and related activities; web portals",6
2021,Construction,Demolition and site preparation,1
2021,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",6
2021,Construction,"Electrical, plumbing and other construction installation activities",40
2021,Accommodation and food service activities,Event catering and other food service activities,14
2021,"Agriculture, forestry and fishing",Fishing,2
2021,"Arts, entertainment and recreation",Gambling and betting activities,
2021,"Agriculture, forestry and fishing",Growing of non-perennial crops,
2021,"Agriculture, forestry and fishing",Growing of perennial crops,1
2021,Education,Higher education,2
2021,Human health and social work activities,Hospital activities,6
2021,Transportation and storage,Inland water transport,1
2021,Administrative and support service activities,Landscape care and maintenance service activities,12
2021,"Professional, scientific and technical activities",Legal activities,15
2021,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",1
2021,"Agriculture, forestry and fishing",Logging,1
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,35
2021,"Professional, scientific and technical activities",Management consultancy activities,51
2021,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2021,Manufacturing,Manufacture of basic iron and steel,4
2021,Manufacturing,Manufacture of beverages,1
2021,Manufacturing,Manufacture of dairy products,
2021,Manufacturing,Manufacture of furniture,3
2021,Manufacturing,Manufacture of general-purpose machinery,1
2021,Manufacturing,Manufacture of knitted and crocheted apparel,
2021,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,4
2021,Manufacturing,Manufacture of other chemical products,5
2021,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,1
2021,Manufacturing,Manufacture of other food products,23
2021,Manufacturing,Manufacture of paper and paper products,2
2021,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2
2021,Manufacturing,Manufacture of plastics products,2
2021,Manufacturing,Manufacture of prepared animal feeds,
2021,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",8
2021,Manufacturing,Manufacture of refined petroleum products,
2021,Manufacturing,Manufacture of rubber products,
2021,Manufacturing,Manufacture of sports goods,1
2021,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",2
2021,Manufacturing,Manufacture of vegetable and animal oils and fats,7
2021,Manufacturing,"Manufacture of wearing apparel, except fur apparel",11
2021,Human health and social work activities,Medical and dental practice activities,11
2021,Mining and quarrying,Mining and quarrying n.e.c.,1
2021,"Agriculture, forestry and fishing",Mixed farming,
2021,Financial and insurance activities,Monetary intermediation,6
2021,Information and communication,"Motion picture, video and television programme activities",1
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,6
2021,Administrative and support service activities,Office administrative and support activities,8
2021,Administrative and support service activities,Organization of conventions and trade shows,2
2021,"Arts, entertainment and recreation",Other amusement and recreation activities,12
2021,Education,Other education,31
2021,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",114
2021,Human health and social work activities,Other human health activities,15
2021,Transportation and storage,Other land transport,297
2021,Manufacturing,Other manufacturing n.e.c.,2
2021,Other service activities,Other personal service activities,28
2021,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",147
2021,Administrative and support service activities,Other reservation service and related activities,1
2021,Construction,Other specialized construction activities,8
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,3
2021,Information and communication,Other telecommunications activities,21
2021,Transportation and storage,Passenger air transport,3
2021,"Professional, scientific and technical activities",Photographic activities,21
2021,"Agriculture, forestry and fishing",Plant propagation,
2021,Transportation and storage,Postal activities,3
2021,Education,Pre-primary and primary education,6
2021,Manufacturing,Printing and service activities related to printing,6
2021,Administrative and support service activities,Private security activities,28
2021,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",1
2021,Manufacturing,Processing and preserving of fruit and vegetables,
2021,Manufacturing,Processing and preserving of meat,2
2021,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2021,Information and communication,"Publishing of books, periodicals and other publishing activities",
2021,Mining and quarrying,"Quarrying of stone, sand and clay",7
2021,Information and communication,Radio broadcasting,
2021,Real estate activities,Real estate activities on a fee or contract basis,58
2021,Real estate activities,Real estate activities with own or leased property,3
2021,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,
2021,Administrative and support service activities,Renting and leasing of motor vehicles,15
2021,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",14
2021,Administrative and support service activities,Renting and leasing of personal and household goods,5
2021,Other service activities,Repair of computers and communication equipment,6
2021,Manufacturing,"Repair of fabricated metal products, machinery and equipment",22
2021,Other service activities,Repair of personal and household goods,1
2021,Information and communication,Reproduction of recorded media,1
2021,Accommodation and food service activities,Restaurants and mobile food service activities,107
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,162
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,10
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,2
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",44
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,9
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,408
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,14
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",2
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,5
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,9
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",3
2021,Information and communication,Satellite telecommunications activities,4
2021,Manufacturing,Sawmilling and planing of wood,2
2021,Transportation and storage,Sea and coastal water transport,15
2021,Education,Secondary education,1
2021,Administrative and support service activities,Security systems service activities,
2021,"Water supply; sewerage, waste management and remediation activities",Sewerage,1
2021,Accommodation and food service activities,Short term accommodation activities,44
2021,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2021,Information and communication,Sound recording and music publishing activities,4
2021,"Professional, scientific and technical activities",Specialized design activities,9
2021,Manufacturing,"Spinning, weaving and finishing of textiles",19
2021,"Arts, entertainment and recreation",Sports activities,3
2021,Transportation and storage,Support activities for transportation,40
2021,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1
2021,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",
2021,Information and communication,Television programming and broadcasting activities,1
2021,Administrative and support service activities,Travel agency and tour operator activities,13
2021,Financial and insurance activities,"Trusts, funds and similar financial entities",1
2021,"Professional, scientific and technical activities",Veterinary activities,1
2021,Transportation and storage,Warehousing and storage,9
2021,"Water supply; sewerage, waste management and remediation activities",Waste collection,
2021,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,1
2021,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",3
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,8
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,21
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",1
2021,Information and communication,Wired telecommunications activities,3
2021,Information and communication,Wireless telecommunications activities,2
2022,,,13561
2022,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",34
2022,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",7
2022,Administrative and support service activities,Activities of call centres,2
2022,Administrative and support service activities,Activities of employment placement agencies,5
2022,"Professional, scientific and technical activities",Activities of head offices,9
2022,Other service activities,Activities of other membership organizations,2
2022,"Professional, scientific and technical activities",Advertising,24
2022,"Agriculture, forestry and fishing",Animal production,85
2022,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,36
2022,Accommodation and food service activities,Beverage serving activities,782
2022,Construction,Building completion and finishing,4
2022,Manufacturing,Building of ships and boats,4
2022,Administrative and support service activities,Business support service activities n.e.c.,35
2022,Accommodation and food service activities,"Camping grounds, recreational vehicle parks and trailer parks",3
2022,Manufacturing,Casting of metals,1
2022,Administrative and support service activities,Cleaning activities,27
2022,Information and communication,"Computer programming, consultancy and related activities",6
2022,Construction,Construction of buildings,381
2022,Construction,Construction of other civil engineering projects,1
2022,Construction,Construction of roads and railways,19
2022,Construction,Construction of utility projects,3
2022,"Arts, entertainment and recreation","Creative, arts and entertainment activities",13
2022,Information and communication,"Data processing, hosting and related activities; web portals",21
2022,Construction,Demolition and site preparation,5
2022,Education,Educational support activities,2
2022,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",12
2022,Construction,"Electrical, plumbing and other construction installation activities",102
2022,Accommodation and food service activities,Event catering and other food service activities,63
2022,"Agriculture, forestry and fishing",Fishing,9
2022,"Agriculture, forestry and fishing",Growing of non-perennial crops,33
2022,"Agriculture, forestry and fishing",Growing of perennial crops,5
2022,Education,Higher education,2
2022,Human health and social work activities,Hospital activities,2
2022,Financial and insurance activities,Insurance,13
2022,Administrative and support service activities,Landscape care and maintenance service activities,28
2022,"Professional, scientific and technical activities",Legal activities,24
2022,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",4
2022,"Agriculture, forestry and fishing",Logging,9
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,96
2022,"Professional, scientific and technical activities",Management consultancy activities,157
2022,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2022,Manufacturing,Manufacture of basic iron and steel,4
2022,Manufacturing,Manufacture of beverages,13
2022,Manufacturing,Manufacture of communication equipment,1
2022,Manufacturing,Manufacture of dairy products,1
2022,Manufacturing,Manufacture of furniture,30
2022,Manufacturing,Manufacture of general-purpose machinery,2
2022,Manufacturing,"Manufacture of grain mill products, starches and starch products",2
2022,Manufacturing,Manufacture of knitted and crocheted apparel,1
2022,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,36
2022,Manufacturing,Manufacture of other chemical products,12
2022,Manufacturing,Manufacture of other electrical equipment,1
2022,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,5
2022,Manufacturing,Manufacture of other food products,302
2022,Manufacturing,Manufacture of paper and paper products,4
2022,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",29
2022,Manufacturing,Manufacture of plastics products,3
2022,Manufacturing,Manufacture of prepared animal feeds,1
2022,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",28
2022,Manufacturing,Manufacture of rubber products,3
2022,Manufacturing,Manufacture of sports goods,1
2022,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",9
2022,Manufacturing,Manufacture of vegetable and animal oils and fats,28
2022,Manufacturing,"Manufacture of wearing apparel, except fur apparel",236
2022,"Professional, scientific and technical activities",Market research and public opinion polling,1
2022,"Water supply; sewerage, waste management and remediation activities",Materials recovery,2
2022,Human health and social work activities,Medical and dental practice activities,27
2022,Mining and quarrying,Mining and quarrying n.e.c.,6
2022,"Agriculture, forestry and fishing",Mixed farming,4
2022,Financial and insurance activities,Monetary intermediation,7
2022,Information and communication,"Motion picture, video and television programme activities",2
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,15
2022,Administrative and support service activities,Office administrative and support activities,15
2022,Administrative and support service activities,Organization of conventions and trade shows,3
2022,"Arts, entertainment and recreation",Other amusement and recreation activities,58
2022,Education,Other education,35
2022,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",215
2022,Human health and social work activities,Other human health activities,37
2022,Administrative and support service activities,Other human resources provision,2
2022,Transportation and storage,Other land transport,1621
2022,Manufacturing,Other manufacturing n.e.c.,7
2022,Other service activities,Other personal service activities,52
2022,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",194
2022,Administrative and support service activities,Other reservation service and related activities,15
2022,Human health and social work activities,Other social work activities without accommodation,1
2022,Construction,Other specialized construction activities,34
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,10
2022,Information and communication,Other telecommunications activities,12
2022,Transportation and storage,Passenger air transport,14
2022,"Professional, scientific and technical activities",Photographic activities,36
2022,Transportation and storage,Postal activities,1
2022,Education,Pre-primary and primary education,22
2022,Manufacturing,Printing and service activities related to printing,19
2022,Administrative and support service activities,Private security activities,46
2022,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",4
2022,Manufacturing,Processing and preserving of fruit and vegetables,1
2022,Manufacturing,Processing and preserving of meat,6
2022,Information and communication,"Publishing of books, periodicals and other publishing activities",1
2022,Mining and quarrying,"Quarrying of stone, sand and clay",16
2022,Information and communication,Radio broadcasting,3
2022,Real estate activities,Real estate activities on a fee or contract basis,92
2022,Real estate activities,Real estate activities with own or leased property,211
2022,Administrative and support service activities,Renting and leasing of motor vehicles,31
2022,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",43
2022,Administrative and support service activities,Renting and leasing of personal and household goods,11
2022,Other service activities,Repair of computers and communication equipment,24
2022,Manufacturing,"Repair of fabricated metal products, machinery and equipment",55
2022,Other service activities,Repair of personal and household goods,12
2022,Accommodation and food service activities,Restaurants and mobile food service activities,631
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,1324
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,216
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,10
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",1558
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,13
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,564
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,137
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,1958
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",24
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,30
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,20
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",4
2022,Information and communication,Satellite telecommunications activities,10
2022,Manufacturing,Sawmilling and planing of wood,9
2022,Transportation and storage,Sea and coastal water transport,251
2022,Education,Secondary education,1
2022,"Water supply; sewerage, waste management and remediation activities",Sewerage,4
2022,Accommodation and food service activities,Short term accommodation activities,277
2022,"Agriculture, forestry and fishing",Silviculture and other forestry activities,8
2022,Information and communication,Software publishing,1
2022,Information and communication,Sound recording and music publishing activities,1
2022,"Professional, scientific and technical activities",Specialized design activities,14
2022,Manufacturing,"Spinning, weaving and finishing of textiles",34
2022,"Arts, entertainment and recreation",Sports activities,15
2022,Transportation and storage,Support activities for transportation,74
2022,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1
2022,"Agriculture, forestry and fishing",Support services to forestry,1
2022,"Professional, scientific and technical activities",Technical testing and analysis,1
2022,Information and communication,Television programming and broadcasting activities,1
2022,Administrative and support service activities,Temporary employment agency activities,2
2022,Administrative and support service activities,Travel agency and tour operator activities,46
2022,Financial and insurance activities,"Trusts, funds and similar financial entities",5
2022,"Professional, scientific and technical activities",Veterinary activities,38
2022,Transportation and storage,Warehousing and storage,14
2022,"Water supply; sewerage, waste management and remediation activities",Waste collection,9
2022,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,1
2022,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",12
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,60
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",18
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,110
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",7
2022,Information and communication,Wired telecommunications activities,1
2022,Information and communication,Wireless telecommunications activities,3
2022,N/A,N/A,197
2023,,,12955
2023,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",29
2023,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",41
2023,Financial and insurance activities,Activities auxiliary to insurance and pension funding,1
2023,Administrative and support service activities,Activities of employment placement agencies,37
2023,"Professional, scientific and technical activities",Activities of head offices,17
2023,Financial and insurance activities,Activities of holding companies,2
2023,"Professional, scientific and technical activities",Advertising,25
2023,"Agriculture, forestry and fishing",Animal production,50
2023,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,47
2023,Accommodation and food service activities,Beverage serving activities,608
2023,Construction,Building completion and finishing,6
2023,Manufacturing,Building of ships and boats,6
2023,Administrative and support service activities,Business support service activities n.e.c.,64
2023,Accommodation and food service activities,"Camping grounds, recreational vehicle parks and trailer parks",1
2023,Manufacturing,Casting of metals,1
2023,Administrative and support service activities,Cleaning activities,27
2023,Administrative and support service activities,Combined facilities support activities,23
2023,Information and communication,"Computer programming, consultancy and related activities",19
2023,Construction,Construction of buildings,413
2023,Construction,Construction of other civil engineering projects,3
2023,Construction,Construction of roads and railways,22
2023,Construction,Construction of utility projects,3
2023,Transportation and storage,Courier activities,2
2023,"Arts, entertainment and recreation","Creative, arts and entertainment activities",15
2023,Information and communication,"Data processing, hosting and related activities; web portals",57
2023,Construction,Demolition and site preparation,7
2023,Education,Educational support activities,2
2023,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",9
2023,Construction,"Electrical, plumbing and other construction installation activities",145
2023,Accommodation and food service activities,Event catering and other food service activities,75
2023,"Agriculture, forestry and fishing",Fishing,14
2023,"Arts, entertainment and recreation",Gambling and betting activities,1
2023,"Agriculture, forestry and fishing",Growing of non-perennial crops,17
2023,"Agriculture, forestry and fishing",Growing of perennial crops,7
2023,Education,Higher education,7
2023,Human health and social work activities,Hospital activities,2
2023,Financial and insurance activities,Insurance,12
2023,Administrative and support service activities,Landscape care and maintenance service activities,20
2023,Administrative and support service activities,"Leasing of intellectual property and similar products, except copyrighted works",4
2023,"Professional, scientific and technical activities",Legal activities,28
2023,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",2
2023,"Agriculture, forestry and fishing",Logging,13
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,116
2023,"Professional, scientific and technical activities",Management consultancy activities,342
2023,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",3
2023,Manufacturing,Manufacture of basic iron and steel,8
2023,Manufacturing,Manufacture of basic precious and other non-ferrous metals,1
2023,Manufacturing,Manufacture of beverages,9
2023,Manufacturing,Manufacture of coke oven products,1
2023,Manufacturing,Manufacture of communication equipment,1
2023,Manufacturing,Manufacture of dairy products,1
2023,Manufacturing,Manufacture of furniture,17
2023,Manufacturing,Manufacture of general-purpose machinery,3
2023,Manufacturing,"Manufacture of jewellery, bijouterie and related articles",2
2023,Manufacturing,Manufacture of medical and dental instruments and supplies,1
2023,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,29
2023,Manufacturing,Manufacture of other chemical products,14
2023,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,22
2023,Manufacturing,Manufacture of other food products,307
2023,Manufacturing,Manufacture of other textiles,1
2023,Manufacturing,Manufacture of paper and paper products,5
2023,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",41
2023,Manufacturing,Manufacture of prepared animal feeds,4
2023,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",33
2023,Manufacturing,Manufacture of refined petroleum products,3
2023,Manufacturing,Manufacture of rubber products,3
2023,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",3
2023,Manufacturing,Manufacture of vegetable and animal oils and fats,47
2023,Manufacturing,"Manufacture of wearing apparel, except fur apparel",116
2023,Manufacturing,Manufacture of wiring and wiring devices,1
2023,"Professional, scientific and technical activities",Market research and public opinion polling,1
2023,"Water supply; sewerage, waste management and remediation activities",Materials recovery,3
2023,Human health and social work activities,Medical and dental practice activities,31
2023,Mining and quarrying,Mining and quarrying n.e.c.,6
2023,"Agriculture, forestry and fishing",Mixed farming,101
2023,Financial and insurance activities,Monetary intermediation,13
2023,Information and communication,"Motion picture, video and television programme activities",9
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,37
2023,Administrative and support service activities,Office administrative and support activities,20
2023,Administrative and support service activities,Organization of conventions and trade shows,5
2023,"Arts, entertainment and recreation",Other amusement and recreation activities,58
2023,Education,Other education,26
2023,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",182
2023,Human health and social work activities,Other human health activities,56
2023,Administrative and support service activities,Other human resources provision,2
2023,Information and communication,Other information service activities,1
2023,Transportation and storage,Other land transport,2211
2023,Manufacturing,Other manufacturing n.e.c.,9
2023,Other service activities,Other personal service activities,74
2023,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",102
2023,Administrative and support service activities,Other reservation service and related activities,18
2023,Construction,Other specialized construction activities,16
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,14
2023,Information and communication,Other telecommunications activities,5
2023,Transportation and storage,Passenger air transport,15
2023,"Professional, scientific and technical activities",Photographic activities,37
2023,"Agriculture, forestry and fishing",Plant propagation,2
2023,Education,Pre-primary and primary education,21
2023,Manufacturing,Printing and service activities related to printing,14
2023,Administrative and support service activities,Private security activities,67
2023,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",5
2023,Manufacturing,Processing and preserving of fruit and vegetables,6
2023,Manufacturing,Processing and preserving of meat,11
2023,Information and communication,"Publishing of books, periodicals and other publishing activities",2
2023,Mining and quarrying,"Quarrying of stone, sand and clay",19
