Year,Budget Series,Ministry,Department,Activity,Units,Value
2015,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),15.926645
2015,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),164.657476
2015,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),17.487072
2015,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),950.87289
2015,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),15.988866
2015,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),41.660818
2015,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),92.029764
2015,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),717.997274
2015,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),55.994276
2015,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.546108
2015,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),30.007101
2015,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),17.743952
2015,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),238.075872
2015,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),39.692092
2015,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),71.41359
2015,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.45557
2015,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),19.523124
2015,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),36.827993
2015,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),47.303189
2015,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),2.816509
2015,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),17.034958
2015,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),19.796465
2015,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),9.375571
2015,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),5.782878
2015,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),1.911333
2015,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),46.914661
2015,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),12.485097
2015,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),1.5
2015,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),2.561122
2015,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),26.329274
2015,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),2.248393
2015,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),24.475509
2015,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),12.272586
2015,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),28.240158
2015,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),1.93635
2015,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),44.478257
2015,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),78.883376
2015,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),2.372222
2015,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),17.925221
2015,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),0.875074
2015,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),3.704694
2015,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),241.846731
2015,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),27.83751
2015,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),34.083681
2015,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),9.44347
2015,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),2.436016
2015,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.86683
2015,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),71.310044
2015,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),17.850342
2015,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),15.804287
2015,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),5.869992
2015,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),475.27487
2015,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),14.31089
2015,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),10.670166
2015,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),17.120959
2015,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),14.150715
2015,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),10.243789
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),6.135019
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),33.565243
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),50.358966
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),61.748597
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),12.924211
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),47.189051
2015,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),6.608502
2015,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),5.357836
2015,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),1.864107
2015,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),7.299915
2015,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),30.01114
2015,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),1201.332313
2015,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),25
2015,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.6
2015,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),156.158539
2015,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),3987.753574
2015,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),4.908787
2015,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),25.981317
2015,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),15.560217
2015,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),24.732461
2015,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),168.719131
2015,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),19.846327
2015,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),962.071326
2015,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),19.388675
2015,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),43.76072
2015,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),119.939091
2015,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),690.605847
2015,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),69.18328
2015,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.689171
2015,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),27.999298
2015,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),13.810505
2015,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),235.629873
2015,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),42.298711
2015,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),40.581107
2015,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.256004
2015,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),18.534609
2015,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),31.909733
2015,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),44.414282
2015,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),7.673657
2015,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),11.054147
2015,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),22.795315
2015,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),5.84559
2015,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),8.109189
2015,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),1.932245
2015,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),43.441498
2015,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),12.519967
2015,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),1.5
2015,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),2.561171
2015,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),22.512177
2015,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),2.253434
2015,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),23.471387
2015,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),19.245808
2015,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),31.397553
2015,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),1.949198
2015,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),41.353285
2015,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),67.810046
2015,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),2.927019
2015,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),10.774612
2015,Budget,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),1.049187
2015,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),2.495808
2015,Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),241.07684
2015,Budget,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),24.150282
2015,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),32.932424
2015,Budget,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),8.086077
2016,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),20.013312
2016,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.794574
2016,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),79.108441
2016,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),21.647338
2016,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),11.584142
2016,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),8.134844
2016,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),462.96767
2016,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),15.231451
2016,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),11.683561
2016,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),80.61445
2016,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),16.772531
2016,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),17.481461
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),29.053189
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),55.33402
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),34.474037
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),53.060205
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),15.066327
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),39.421748
2016,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),51.778036
2016,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),59.867259
2016,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),7.659455
2016,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),6.534317
2016,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),39.885539
2016,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),812.566776
2016,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),26.61703
2016,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.262906
2016,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),190.821562
2016,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),6829.080956
2016,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),4.713222
2016,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),61.757011
2016,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),29.219906
2016,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),15.950616
2016,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),126.508693
2016,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),20.15411
2016,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),612.60321
2016,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),14.106684
2016,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),38.490287
2016,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),79.074302
2016,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),855.879361
2016,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),63.927161
2016,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.513558
2016,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),28.652629
2016,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),20.485422
2016,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),242.960525
2016,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),10.674139
2016,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),98.290956
2016,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),0.905589
2016,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),15.959109
2016,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),62.7576
2016,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),57.828195
2016,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),8.321298
2016,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),14.788854
2016,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),19.178444
2016,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),9.693994
2016,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.358611
2016,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),2.932245
2016,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),38.728324
2016,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),36.28355
2016,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.240903
2016,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.226549
2016,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),15.606652
2016,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.843882
2016,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),19.217207
2016,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),13.935222
2016,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),41.756902
2016,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),3.072057
2016,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),49.74783
2016,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),227.165112
2016,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),2.637934
2016,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),12.767052
2016,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),7.538946
2016,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),3.728357
2016,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),227.586845
2016,Actual,Prime Ministers Ministry,Parliamentary Secretariat,,Value in Millions (VT),6.428588
2016,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),52.746575
2016,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),64.146957
2016,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),9.941904
2016,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),11.740714
2016,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.86683
2016,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),70.715949
2016,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),10.575258
2016,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),12.952633
2016,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),7.199426
2016,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),470.242014
2016,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),15.473098
2016,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),11.405888
2016,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),78.475039
2016,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),18.766829
2016,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),17.915387
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),6.950538
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),62.385707
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),10.050529
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),35.354725
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),16.288167
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),39.188418
2016,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),27.341451
2016,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),20.326336
2016,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),6.844455
2016,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),6.534317
2016,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),34.992993
2016,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),825.837305
2016,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),29
2016,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),7.6
2016,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),186.822234
2016,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),5237.917753
2016,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),4.769753
2016,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),61.275932
2016,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),15.061403
2016,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),14.502581
2016,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),111.554076
2016,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),18.592184
2016,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),625.132739
2016,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),16.91735
2016,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),38.583575
2016,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),119.106798
2016,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),927.34149
2016,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),58.856436
2016,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),1.747107
2016,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),21.665533
2016,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),15.982019
2016,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),237.370085
2016,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),15.869853
2016,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),62.761737
2016,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.000505
2016,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),16.6448
2016,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),76.406527
2016,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),52.452216
2016,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),12.136592
2016,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),14.499035
2016,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),16.795315
2016,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),4.550051
2016,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),3.746585
2016,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),2.932245
2016,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),30.374561
2016,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),26.320436
2016,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.245333
2016,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),2.560999
2016,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),12.688568
2016,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.855284
2016,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),12.17923
2016,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),10.586696
2016,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),37.207045
