Year,Budget Series,Ministry,Department,Activity,Units,Value
2013,Actual,Prime Ministers Ministry,,,Value in Millions (VT),320.974346
2013,Budget,Constitutional Agencies,,,Value in Millions (VT),619.955655
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),160.274026
2013,Budget,"Ministry of Civil Aviation, Meteorology and Postal Services",,,Value in Millions (VT),4.368499
2013,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),84.709787
2013,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),8.063262
2013,Budget,Ministry of Education & Training,,,Value in Millions (VT),895.842295
2013,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3856.43553
2013,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),111.422865
2013,Budget,Ministry of Health,,,Value in Millions (VT),612.972536
2013,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),961.557167
2013,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),535.450771
2013,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),96.375659
2013,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),77.993382
2013,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),181.828945
2013,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),84.191371
2013,Budget,Prime Ministers Ministry,,,Value in Millions (VT),295.074943
2014,Actual,Constitutional Agencies,,,Value in Millions (VT),622.685612
2014,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),154.001448
2014,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),84.749264
2014,Actual,Ministry of Education & Training,,,Value in Millions (VT),1086.727283
2014,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),3297.266
2014,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),169.694357
2014,Actual,Ministry of Health,,,Value in Millions (VT),623.980985
2014,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1154.453073
2014,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),466.41107
2014,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),104.072404
2014,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),61.936628
2014,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),124.832426
2014,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),111.079114
2014,Actual,Prime Ministers Ministry,,,Value in Millions (VT),582.683868
2014,Budget,Constitutional Agencies,,,Value in Millions (VT),587.368141
2014,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),135.050248
2014,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),43.777488
2014,Budget,Ministry of Education & Training,,,Value in Millions (VT),1084.134665
2014,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3840.850617
2014,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),133.659816
2014,Budget,Ministry of Health,,,Value in Millions (VT),698.218439
2014,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1169.586849
2014,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),424.139763
2014,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),97.365387
2014,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),65.757494
2014,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),124.24767
2014,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),85.174497
2014,Budget,Prime Ministers Ministry,,,Value in Millions (VT),293.872822
2015,Actual,Constitutional Agencies,,,Value in Millions (VT),651.346627
2015,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),204.945363
2015,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),54.008597
2015,Actual,Ministry of Education & Training,,,Value in Millions (VT),1219.144465
2015,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),4209.830112
2015,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),198.071193
2015,Actual,Ministry of Health,,,Value in Millions (VT),966.861756
2015,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),907.682132
2015,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),456.285402
2015,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),102.10957
2015,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),93.94988
2015,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),111.40286
2015,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),81.255598
2015,Actual,Prime Ministers Ministry,,,Value in Millions (VT),335.716381
2015,Budget,Constitutional Agencies,,,Value in Millions (VT),655.9089
2015,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),211.921087
2015,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),51.1415
2015,Budget,Ministry of Education & Training,,,Value in Millions (VT),1233.932313
2015,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),4190.362434
2015,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),213.297919
2015,Budget,Ministry of Health,,,Value in Millions (VT),981.460001
