Year,Series,Province,Island,Language,SchoolName,Year Level,Gender,Achievement Level,Value
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Male,critically below minimum standard,2
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Female,critically below minimum standard,2
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Male,approaching minimum standard,3
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Female,approaching minimum standard,3
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Male,meeting minimum standard,4
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Female,meeting minimum standard,5
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Male,exceeding minimum standard,1
2021,Alphabétisation Français - Année 6,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),6,Female,exceeding minimum standard,2
2021,Alphabétisation Français - Année 4,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),4,Male,critically below minimum standard,1
2021,Alphabétisation Français - Année 4,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),4,Female,critically below minimum standard,4
2021,Alphabétisation Français - Année 4,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),4,Male,approaching minimum standard,1
2021,Alphabétisation Français - Année 4,Torba,Vanua Lava,FRE,EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),4,Female,approaching minimum standard,4
