Year,Series,Commodity,Country,Value
2022,Quantity (in tonnes kilogram),Alcoholic drinks,Solomon Islands,108
2022,Quantity (in tonnes kilogram),Alcoholic drinks,United Kingdom,7
2022,Quantity (in tonnes kilogram),Iron or steel,China,1487
2022,Quantity (in tonnes kilogram),Iron or steel,Australia,636
2022,Quantity (in tonnes kilogram),Iron or steel,Japan,0
2022,Quantity (in tonnes kilogram),Iron or steel,New Zealand,31
2022,Quantity (in tonnes kilogram),Iron or steel,Fiji,148
2022,Quantity (in tonnes kilogram),Medicaments,Australia,88
2022,Quantity (in tonnes kilogram),Medicaments,New Zealand,7
2022,Quantity (in tonnes kilogram),Medicaments,India,24
2022,Quantity (in tonnes kilogram),Medicaments,United States of America,4
2022,Quantity (in tonnes kilogram),Medicaments,Fiji,7
2022,Quantity (in tonnes kilogram),Petroleum oils,Singapore,55572
2022,Quantity (in tonnes kilogram),Petroleum oils,Australia,164
2022,Quantity (in tonnes kilogram),Petroleum oils,New Zealand,402
2022,Quantity (in tonnes kilogram),Petroleum oils,United Arab Emirates,106
2022,Quantity (in tonnes kilogram),Petroleum oils,Malaysia,130
2022,Quantity (in tonnes kilogram),Rice,China,4085
2022,Quantity (in tonnes kilogram),Rice,Taiwan,3657
2022,Quantity (in tonnes kilogram),Rice,Vietnam,609
2022,Quantity (in tonnes kilogram),Rice,Fiji,152
2022,Quantity (in tonnes kilogram),Rice,Thailand,29
2023,Quantity (in tonnes kilogram),,,136997
2023,Quantity (in tonnes kilogram),Alcoholic drinks,,4237
2023,Quantity (in tonnes kilogram),Iron or steel,,5508
2023,Quantity (in tonnes kilogram),Medicaments,,82
2023,Quantity (in tonnes kilogram),Petroleum oils,,109082
2023,Quantity (in tonnes kilogram),Rice,,18088
2023,Quantity (in tonnes kilogram),Alcoholic drinks,China,2233
2023,Quantity (in tonnes kilogram),Alcoholic drinks,France,1189
2023,Quantity (in tonnes kilogram),Alcoholic drinks,Singapore,459
2023,Quantity (in tonnes kilogram),Alcoholic drinks,Solomon Islands,260
2023,Quantity (in tonnes kilogram),Alcoholic drinks,United Kingdom,97
2023,Quantity (in tonnes kilogram),Iron or steel,China,4408
2023,Quantity (in tonnes kilogram),Iron or steel,Australia,495
2023,Quantity (in tonnes kilogram),Iron or steel,Japan,280
2023,Quantity (in tonnes kilogram),Iron or steel,New Zealand,104
2023,Quantity (in tonnes kilogram),Iron or steel,Fiji,221
2023,Quantity (in tonnes kilogram),Medicaments,Australia,55
2023,Quantity (in tonnes kilogram),Medicaments,New Zealand,6
2023,Quantity (in tonnes kilogram),Medicaments,India,14
2023,Quantity (in tonnes kilogram),Medicaments,United States of America,1
2023,Quantity (in tonnes kilogram),Medicaments,Fiji,6
2023,Quantity (in tonnes kilogram),Petroleum oils,Singapore,107640
2023,Quantity (in tonnes kilogram),Petroleum oils,Australia,481
2023,Quantity (in tonnes kilogram),Petroleum oils,New Zealand,696
2023,Quantity (in tonnes kilogram),Petroleum oils,United Arab Emirates,121
2023,Quantity (in tonnes kilogram),Petroleum oils,Malaysia,143
2023,Quantity (in tonnes kilogram),Rice,China,8491
2023,Quantity (in tonnes kilogram),Rice,Taiwan,4298
2023,Quantity (in tonnes kilogram),Rice,Vietnam,4868
2023,Quantity (in tonnes kilogram),Rice,Fiji,284
2023,Quantity (in tonnes kilogram),Rice,Thailand,146
2024,Quantity (in tonnes kilogram),,,92331
2024,Quantity (in tonnes kilogram),Alcoholic drinks,,2778
2024,Quantity (in tonnes kilogram),Iron or steel,,6577
