Year,Series,Major Industry,Minor Industry,Unit of measure,Value
2019,Proportion,"Professional, scientific and technical activities",,Percentage of industry (%),10
2019,Proportion,Public administration and defence; compulsory social security,,Percentage of industry (%),0
2019,Proportion,Real estate activities,,Percentage of industry (%),3
2019,Proportion,Transportation and storage,,Percentage of industry (%),16
2019,Proportion,"Water supply; sewerage, waste management and remediation activities",,Percentage of industry (%),0
2019,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Percentage of industry (%),30
2020,Total number,,,Total number of businesses,4613
2020,Total number,Accommodation and food service activities,,Total number of businesses,541
2020,Total number,Administrative and support service activities,,Total number of businesses,282
2020,Total number,"Agriculture, forestry and fishing",,Total number of businesses,17
2020,Total number,"Arts, entertainment and recreation",,Total number of businesses,64
2020,Total number,Construction,,Total number of businesses,349
2020,Total number,Education,,Total number of businesses,56
2020,Total number,"Electricity, gas, steam and air conditioning supply",,Total number of businesses,11
2020,Total number,Financial and insurance activities,,Total number of businesses,120
2020,Total number,Human health and social work activities,,Total number of businesses,57
2020,Total number,Information and communication,,Total number of businesses,68
2020,Total number,Manufacturing,,Total number of businesses,266
2020,Total number,Mining and quarrying,,Total number of businesses,22
2020,Total number,Other service activities,,Total number of businesses,78
2020,Total number,"Professional, scientific and technical activities",,Total number of businesses,499
2020,Total number,Public administration and defence; compulsory social security,,Total number of businesses,4
2020,Total number,Real estate activities,,Total number of businesses,123
2020,Total number,Transportation and storage,,Total number of businesses,634
2020,Total number,"Water supply; sewerage, waste management and remediation activities",,Total number of businesses,10
2020,Total number,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Total number of businesses,1412
2020,Proportion,Accommodation and food service activities,,Percentage of industry (%),12
2020,Proportion,Administrative and support service activities,,Percentage of industry (%),6
2020,Proportion,"Agriculture, forestry and fishing",,Percentage of industry (%),0
2020,Proportion,"Arts, entertainment and recreation",,Percentage of industry (%),1
2020,Proportion,Construction,,Percentage of industry (%),8
2020,Proportion,Education,,Percentage of industry (%),1
2020,Proportion,"Electricity, gas, steam and air conditioning supply",,Percentage of industry (%),0
2020,Proportion,Financial and insurance activities,,Percentage of industry (%),3
2020,Proportion,Human health and social work activities,,Percentage of industry (%),1
2020,Proportion,Information and communication,,Percentage of industry (%),1
2020,Proportion,Manufacturing,,Percentage of industry (%),6
2020,Proportion,Mining and quarrying,,Percentage of industry (%),0
2020,Proportion,Other service activities,,Percentage of industry (%),2
2020,Proportion,"Professional, scientific and technical activities",,Percentage of industry (%),11
2020,Proportion,Public administration and defence; compulsory social security,,Percentage of industry (%),0
2020,Proportion,Real estate activities,,Percentage of industry (%),3
2020,Proportion,Transportation and storage,,Percentage of industry (%),14
2020,Proportion,"Water supply; sewerage, waste management and remediation activities",,Percentage of industry (%),0
2020,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Percentage of industry (%),31
2021,Total number,,,Total number of businesses,2500
2021,Total number,Accommodation and food service activities,,Total number of businesses,209
2021,Total number,Administrative and support service activities,,Total number of businesses,119
2021,Total number,"Agriculture, forestry and fishing",,Total number of businesses,10
2021,Total number,"Arts, entertainment and recreation",,Total number of businesses,22
2021,Total number,Construction,,Total number of businesses,221
2021,Total number,Education,,Total number of businesses,40
2021,Total number,"Electricity, gas, steam and air conditioning supply",,Total number of businesses,6
2021,Total number,Financial and insurance activities,,Total number of businesses,133
2021,Total number,Human health and social work activities,,Total number of businesses,32
2021,Total number,Information and communication,,Total number of businesses,52
2021,Total number,Manufacturing,,Total number of businesses,135
2021,Total number,Mining and quarrying,,Total number of businesses,8
2021,Total number,Other service activities,,Total number of businesses,35
2021,Total number,"Professional, scientific and technical activities",,Total number of businesses,302
2021,Total number,Public administration and defence; compulsory social security,,Total number of businesses,0
2021,Total number,Real estate activities,,Total number of businesses,61
2021,Total number,Transportation and storage,,Total number of businesses,368
2021,Total number,"Water supply; sewerage, waste management and remediation activities",,Total number of businesses,5
2021,Total number,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Total number of businesses,742
2021,Proportion,Accommodation and food service activities,,Percentage of industry (%),8
2021,Proportion,Administrative and support service activities,,Percentage of industry (%),5
2021,Proportion,"Agriculture, forestry and fishing",,Percentage of industry (%),0
2021,Proportion,"Arts, entertainment and recreation",,Percentage of industry (%),1
2021,Proportion,Construction,,Percentage of industry (%),9
2021,Proportion,Education,,Percentage of industry (%),2
2021,Proportion,"Electricity, gas, steam and air conditioning supply",,Percentage of industry (%),0
2021,Proportion,Financial and insurance activities,,Percentage of industry (%),5
2021,Proportion,Human health and social work activities,,Percentage of industry (%),1
2021,Proportion,Information and communication,,Percentage of industry (%),2
2021,Proportion,Manufacturing,,Percentage of industry (%),5
2021,Proportion,Mining and quarrying,,Percentage of industry (%),0
2021,Proportion,Other service activities,,Percentage of industry (%),1
2021,Proportion,"Professional, scientific and technical activities",,Percentage of industry (%),12
2021,Proportion,Public administration and defence; compulsory social security,,Percentage of industry (%),0
2021,Proportion,Real estate activities,,Percentage of industry (%),2
2021,Proportion,Transportation and storage,,Percentage of industry (%),15
2021,Proportion,"Water supply; sewerage, waste management and remediation activities",,Percentage of industry (%),0
2021,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Percentage of industry (%),30
2015,Total number,,,Total number of businesses,3716
2015,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,32
2015,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,23
2015,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,15
2015,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,1
2015,Total number,,Activities of call centres,Total number of businesses,0
2015,Total number,,Activities of employment placement agencies,Total number of businesses,0
2015,Total number,,Activities of head offices,Total number of businesses,19
2015,Total number,,Advertising,Total number of businesses,13
2015,Total number,,Animal production,Total number of businesses,5
2015,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,29
2015,Total number,,Beverage serving activities,Total number of businesses,110
2015,Total number,,Building completion and finishing,Total number of businesses,2
2015,Total number,,Building of ships and boats,Total number of businesses,2
2015,Total number,,Business support service activities n.e.c.,Total number of businesses,13
2015,Total number,,Casting of metals,Total number of businesses,1
2015,Total number,,Cleaning activities,Total number of businesses,11
2015,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,5
2015,Total number,,Construction of buildings,Total number of businesses,144
2015,Total number,,Construction of other civil engineering projects,Total number of businesses,3
2015,Total number,,Construction of roads and railways,Total number of businesses,10
2015,Total number,,Construction of utility projects,Total number of businesses,2
2015,Total number,,Courier activities,Total number of businesses,2
2015,Total number,,"Creative, arts and entertainment activities",Total number of businesses,7
2015,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,2
2015,Total number,,Demolition and site preparation,Total number of businesses,4
2015,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,4
2015,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,42
2015,Total number,,Event catering and other food service activities,Total number of businesses,6
2015,Total number,,Fishing,Total number of businesses,1
2015,Total number,,Gambling and betting activities,Total number of businesses,0
2015,Total number,,Growing of non-perennial crops,Total number of businesses,0
2015,Total number,,Growing of perennial crops,Total number of businesses,0
2015,Total number,,Higher education,Total number of businesses,4
2015,Total number,,Hospital activities,Total number of businesses,1
2015,Total number,,Inland water transport,Total number of businesses,0
2015,Total number,,Landscape care and maintenance service activities,Total number of businesses,3
2015,Total number,,Legal activities,Total number of businesses,30
2015,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,0
2015,Total number,,Logging,Total number of businesses,2
2015,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,62
2015,Total number,,Management consultancy activities,Total number of businesses,79
2015,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,3
2015,Total number,,Manufacture of basic iron and steel,Total number of businesses,6
2015,Total number,,Manufacture of beverages,Total number of businesses,15
2015,Total number,,Manufacture of dairy products,Total number of businesses,2
2015,Total number,,Manufacture of furniture,Total number of businesses,3
2015,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2015,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,1
2015,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,7
2015,Total number,,Manufacture of other chemical products,Total number of businesses,10
2015,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,0
2015,Total number,,Manufacture of other food products,Total number of businesses,38
2015,Total number,,Manufacture of paper and paper products,Total number of businesses,2
2015,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,15
2015,Total number,,Manufacture of plastics products,Total number of businesses,0
2015,Total number,,Manufacture of prepared animal feeds,Total number of businesses,0
2015,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,18
2015,Total number,,Manufacture of refined petroleum products,Total number of businesses,0
2015,Total number,,Manufacture of rubber products,Total number of businesses,2
2015,Total number,,Manufacture of sports goods,Total number of businesses,0
2015,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,6
2015,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,7
2015,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,12
2015,Total number,,Medical and dental practice activities,Total number of businesses,17
2015,Total number,,Mining and quarrying n.e.c.,Total number of businesses,1
2015,Total number,,Mixed farming,Total number of businesses,1
2015,Total number,,Monetary intermediation,Total number of businesses,4
2015,Total number,,"Motion picture, video and television programme activities",Total number of businesses,2
2015,Total number,,Non-specialized wholesale trade,Total number of businesses,3
2015,Total number,,Office administrative and support activities,Total number of businesses,14
2015,Total number,,Organization of conventions and trade shows,Total number of businesses,2
2015,Total number,,Other amusement and recreation activities,Total number of businesses,38
2015,Total number,,Other education,Total number of businesses,21
2015,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,40
2015,Total number,,Other human health activities,Total number of businesses,28
2015,Total number,,Other land transport,Total number of businesses,565
2015,Total number,,Other manufacturing n.e.c.,Total number of businesses,7
2015,Total number,,Other personal service activities,Total number of businesses,32
2015,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,113
2015,Total number,,Other reservation service and related activities,Total number of businesses,4
2015,Total number,,Other specialized construction activities,Total number of businesses,25
2015,Total number,,Other specialized wholesale,Total number of businesses,18
2015,Total number,,Other telecommunications activities,Total number of businesses,10
2015,Total number,,Passenger air transport,Total number of businesses,10
2015,Total number,,Photographic activities,Total number of businesses,15
2015,Total number,,Plant propagation,Total number of businesses,0
2015,Total number,,Postal activities,Total number of businesses,3
2015,Total number,,Pre-primary and primary education,Total number of businesses,13
2015,Total number,,Printing and service activities related to printing,Total number of businesses,18
2015,Total number,,Private security activities,Total number of businesses,32
2015,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,0
2015,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,0
2015,Total number,,Processing and preserving of meat,Total number of businesses,1
2015,Total number,,Provision of services to the community as a whole,Total number of businesses,0
2015,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,6
2015,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,10
2015,Total number,,Radio broadcasting,Total number of businesses,2
2015,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,56
2015,Total number,,Real estate activities with own or leased property,Total number of businesses,11
2015,Total number,,Remediation activities and other waste management services,Total number of businesses,5
2015,Total number,,Renting and leasing of motor vehicles,Total number of businesses,27
2015,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,47
2015,Total number,,Renting and leasing of personal and household goods,Total number of businesses,4
2015,Total number,,Repair of computers and communication equipment,Total number of businesses,16
2015,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,44
2015,Total number,,Repair of personal and household goods,Total number of businesses,12
2015,Total number,,Reproduction of recorded media,Total number of businesses,0
2015,Total number,,Restaurants and mobile food service activities,Total number of businesses,251
2015,Total number,,Retail sale in non-specialized stores,Total number of businesses,550
2015,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,19
2015,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,14
2015,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,24
2015,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,18
2015,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,199
2015,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,49
2015,Total number,,Retail sale via stalls and markets,Total number of businesses,4
2015,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,4
2015,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,14
2015,Total number,,Sale of motor vehicles,Total number of businesses,10
2015,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,13
2015,Total number,,Satellite telecommunications activities,Total number of businesses,8
2015,Total number,,Sawmilling and planing of wood,Total number of businesses,2
2015,Total number,,Sea and coastal water transport,Total number of businesses,39
2015,Total number,,Secondary education,Total number of businesses,0
2015,Total number,,Security systems service activities,Total number of businesses,0
2015,Total number,,Sewerage,Total number of businesses,0
2015,Total number,,Short term accommodation activities,Total number of businesses,110
2015,Total number,,Silviculture and other forestry activities,Total number of businesses,1
2015,Total number,,Sound recording and music publishing activities,Total number of businesses,3
2015,Total number,,Specialized design activities,Total number of businesses,5
2015,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,0
2015,Total number,,Sports activities,Total number of businesses,15
2015,Total number,,Support activities for transportation,Total number of businesses,140
2015,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,0
2015,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,1
2015,Total number,,Television programming and broadcasting activities,Total number of businesses,4
2015,Total number,,Travel agency and tour operator activities,Total number of businesses,52
2015,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,4
2015,Total number,,Veterinary activities,Total number of businesses,2
2015,Total number,,Warehousing and storage,Total number of businesses,11
2015,Total number,,Waste collection,Total number of businesses,3
2015,Total number,,Waste treatment and disposal,Total number of businesses,0
2015,Total number,,"Water collection, treatment and supply",Total number of businesses,3
2015,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,6
2015,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,1
2015,Total number,,Wholesale of household goods,Total number of businesses,10
2015,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,3
2015,Total number,,Wired telecommunications activities,Total number of businesses,1
2015,Total number,,Wireless telecommunications activities,Total number of businesses,9
2016,Total number,,,Total number of businesses,4083
2016,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,30
2016,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,18
2016,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,16
2016,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,1
2016,Total number,,Activities of call centres,Total number of businesses,0
2016,Total number,,Activities of employment placement agencies,Total number of businesses,6
2016,Total number,,Activities of head offices,Total number of businesses,17
2016,Total number,,Advertising,Total number of businesses,15
2016,Total number,,Animal production,Total number of businesses,9
2016,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,36
2016,Total number,,Beverage serving activities,Total number of businesses,84
2016,Total number,,Building completion and finishing,Total number of businesses,2
2016,Total number,,Building of ships and boats,Total number of businesses,2
2016,Total number,,Business support service activities n.e.c.,Total number of businesses,11
2016,Total number,,Casting of metals,Total number of businesses,1
2016,Total number,,Cleaning activities,Total number of businesses,19
2016,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,7
2016,Total number,,Construction of buildings,Total number of businesses,164
2016,Total number,,Construction of other civil engineering projects,Total number of businesses,6
2016,Total number,,Construction of roads and railways,Total number of businesses,13
2016,Total number,,Construction of utility projects,Total number of businesses,2
2016,Total number,,Courier activities,Total number of businesses,3
2016,Total number,,"Creative, arts and entertainment activities",Total number of businesses,7
2016,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,2
2016,Total number,,Demolition and site preparation,Total number of businesses,5
2016,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,8
