Year,Series,Major Industry,Minor Industry,Unit of measure,Value
2019,Total number,,Construction of roads and railways,Total number of businesses,20
2019,Total number,,Construction of utility projects,Total number of businesses,2
2019,Total number,,Courier activities,Total number of businesses,0
2019,Total number,,"Creative, arts and entertainment activities",Total number of businesses,8
2019,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,4
2019,Total number,,Demolition and site preparation,Total number of businesses,6
2019,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,6
2019,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,55
2019,Total number,,Event catering and other food service activities,Total number of businesses,31
2019,Total number,,Fishing,Total number of businesses,3
2019,Total number,,Gambling and betting activities,Total number of businesses,0
2019,Total number,,Growing of non-perennial crops,Total number of businesses,2
2019,Total number,,Growing of perennial crops,Total number of businesses,3
2019,Total number,,Higher education,Total number of businesses,5
2019,Total number,,Hospital activities,Total number of businesses,3
2019,Total number,,Inland water transport,Total number of businesses,0
2019,Total number,,Landscape care and maintenance service activities,Total number of businesses,13
2019,Total number,,Legal activities,Total number of businesses,29
2019,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,2
2019,Total number,,Logging,Total number of businesses,1
2019,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,76
2019,Total number,,Management consultancy activities,Total number of businesses,115
2019,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,1
2019,Total number,,Manufacture of basic iron and steel,Total number of businesses,7
2019,Total number,,Manufacture of beverages,Total number of businesses,9
2019,Total number,,Manufacture of dairy products,Total number of businesses,1
2019,Total number,,Manufacture of furniture,Total number of businesses,4
2019,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2019,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,0
2019,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,13
2019,Total number,,Manufacture of other chemical products,Total number of businesses,17
2019,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,0
2019,Total number,,Manufacture of other food products,Total number of businesses,43
2019,Total number,,Manufacture of paper and paper products,Total number of businesses,1
2019,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,14
2019,Total number,,Manufacture of plastics products,Total number of businesses,1
2019,Total number,,Manufacture of prepared animal feeds,Total number of businesses,1
2019,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,24
2019,Total number,,Manufacture of refined petroleum products,Total number of businesses,0
2019,Total number,,Manufacture of rubber products,Total number of businesses,2
2019,Total number,,Manufacture of sports goods,Total number of businesses,0
2019,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,3
2019,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,9
2019,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,17
2019,Total number,,Medical and dental practice activities,Total number of businesses,33
2019,Total number,,Mining and quarrying n.e.c.,Total number of businesses,1
2019,Total number,,Mixed farming,Total number of businesses,0
2019,Total number,,Monetary intermediation,Total number of businesses,5
2019,Total number,,"Motion picture, video and television programme activities",Total number of businesses,3
2019,Total number,,Non-specialized wholesale trade,Total number of businesses,33
2019,Total number,,Office administrative and support activities,Total number of businesses,13
2019,Total number,,Organization of conventions and trade shows,Total number of businesses,5
2019,Total number,,Other amusement and recreation activities,Total number of businesses,50
2019,Total number,,Other education,Total number of businesses,23
2019,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,69
2019,Total number,,Other human health activities,Total number of businesses,30
2019,Total number,,Other land transport,Total number of businesses,504
2019,Total number,,Other manufacturing n.e.c.,Total number of businesses,6
2019,Total number,,Other personal service activities,Total number of businesses,39
2019,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,149
2019,Total number,,Other reservation service and related activities,Total number of businesses,3
2019,Total number,,Other specialized construction activities,Total number of businesses,18
2019,Total number,,Other specialized wholesale,Total number of businesses,15
2019,Total number,,Other telecommunications activities,Total number of businesses,24
2019,Total number,,Passenger air transport,Total number of businesses,17
2019,Total number,,Photographic activities,Total number of businesses,22
2019,Total number,,Plant propagation,Total number of businesses,0
2019,Total number,,Postal activities,Total number of businesses,4
2019,Total number,,Pre-primary and primary education,Total number of businesses,20
2019,Total number,,Printing and service activities related to printing,Total number of businesses,22
2019,Total number,,Private security activities,Total number of businesses,35
2019,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,0
2019,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,1
2019,Total number,,Processing and preserving of meat,Total number of businesses,3
2019,Total number,,Provision of services to the community as a whole,Total number of businesses,3
2019,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,2
2019,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,20
2019,Total number,,Radio broadcasting,Total number of businesses,2
2019,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,114
2019,Total number,,Real estate activities with own or leased property,Total number of businesses,12
2019,Total number,,Remediation activities and other waste management services,Total number of businesses,7
2019,Total number,,Renting and leasing of motor vehicles,Total number of businesses,45
2019,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,51
2019,Total number,,Renting and leasing of personal and household goods,Total number of businesses,8
2019,Total number,,Repair of computers and communication equipment,Total number of businesses,17
2019,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,48
2019,Total number,,Repair of personal and household goods,Total number of businesses,20
2019,Total number,,Reproduction of recorded media,Total number of businesses,0
2019,Total number,,Restaurants and mobile food service activities,Total number of businesses,285
2019,Total number,,Retail sale in non-specialized stores,Total number of businesses,577
2019,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,28
2019,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,11
2019,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,71
2019,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,17
2019,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,386
2019,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,43
2019,Total number,,Retail sale via stalls and markets,Total number of businesses,5
2019,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,10
2019,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,23
2019,Total number,,Sale of motor vehicles,Total number of businesses,13
2019,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,23
2019,Total number,,Satellite telecommunications activities,Total number of businesses,5
2019,Total number,,Sawmilling and planing of wood,Total number of businesses,2
2019,Total number,,Sea and coastal water transport,Total number of businesses,47
2019,Total number,,Secondary education,Total number of businesses,2
2019,Total number,,Security systems service activities,Total number of businesses,4
2019,Total number,,Sewerage,Total number of businesses,0
2019,Total number,,Short term accommodation activities,Total number of businesses,154
2019,Total number,,Silviculture and other forestry activities,Total number of businesses,0
2019,Total number,,Sound recording and music publishing activities,Total number of businesses,2
2019,Total number,,Specialized design activities,Total number of businesses,6
2019,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,1
2019,Total number,,Sports activities,Total number of businesses,10
2019,Total number,,Support activities for transportation,Total number of businesses,139
2019,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,3
2019,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,1
2019,Total number,,Television programming and broadcasting activities,Total number of businesses,6
2019,Total number,,Travel agency and tour operator activities,Total number of businesses,97
2019,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,6
2019,Total number,,Veterinary activities,Total number of businesses,2
2019,Total number,,Warehousing and storage,Total number of businesses,22
2019,Total number,,Waste collection,Total number of businesses,1
2019,Total number,,Waste treatment and disposal,Total number of businesses,0
2019,Total number,,"Water collection, treatment and supply",Total number of businesses,3
2019,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,9
2019,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,2
2019,Total number,,Wholesale of household goods,Total number of businesses,20
2019,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,5
2019,Total number,,Wired telecommunications activities,Total number of businesses,2
2019,Total number,,Wireless telecommunications activities,Total number of businesses,11
2020,Total number,,,Total number of businesses,4613
2020,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,39
2020,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,21
2020,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,14
2020,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,1
2020,Total number,,Activities of call centres,Total number of businesses,0
2020,Total number,,Activities of employment placement agencies,Total number of businesses,8
2020,Total number,,Activities of head offices,Total number of businesses,28
2020,Total number,,Advertising,Total number of businesses,21
2020,Total number,,Animal production,Total number of businesses,9
2020,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,41
2020,Total number,,Beverage serving activities,Total number of businesses,91
2020,Total number,,Building completion and finishing,Total number of businesses,3
2020,Total number,,Building of ships and boats,Total number of businesses,2
2020,Total number,,Business support service activities n.e.c.,Total number of businesses,18
2020,Total number,,Casting of metals,Total number of businesses,0
2020,Total number,,Cleaning activities,Total number of businesses,17
2020,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,11
2020,Total number,,Construction of buildings,Total number of businesses,238
2020,Total number,,Construction of other civil engineering projects,Total number of businesses,3
2020,Total number,,Construction of roads and railways,Total number of businesses,20
2020,Total number,,Construction of utility projects,Total number of businesses,2
2020,Total number,,Courier activities,Total number of businesses,0
2020,Total number,,"Creative, arts and entertainment activities",Total number of businesses,8
2020,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,5
2020,Total number,,Demolition and site preparation,Total number of businesses,3
2020,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,11
2020,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,63
2020,Total number,,Event catering and other food service activities,Total number of businesses,24
2020,Total number,,Fishing,Total number of businesses,2
2020,Total number,,Gambling and betting activities,Total number of businesses,0
2020,Total number,,Growing of non-perennial crops,Total number of businesses,0
2020,Total number,,Growing of perennial crops,Total number of businesses,2
2020,Total number,,Higher education,Total number of businesses,6
2020,Total number,,Hospital activities,Total number of businesses,3
2020,Total number,,Inland water transport,Total number of businesses,0
2020,Total number,,Landscape care and maintenance service activities,Total number of businesses,11
2020,Total number,,Legal activities,Total number of businesses,27
2020,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,2
2020,Total number,,Logging,Total number of businesses,2
2020,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,76
2020,Total number,,Management consultancy activities,Total number of businesses,111
2020,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,1
2020,Total number,,Manufacture of basic iron and steel,Total number of businesses,7
2020,Total number,,Manufacture of beverages,Total number of businesses,7
2020,Total number,,Manufacture of dairy products,Total number of businesses,1
2020,Total number,,Manufacture of furniture,Total number of businesses,3
2020,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2020,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,0
2020,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,10
2020,Total number,,Manufacture of other chemical products,Total number of businesses,18
2020,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,1
2020,Total number,,Manufacture of other food products,Total number of businesses,44
2020,Total number,,Manufacture of paper and paper products,Total number of businesses,3
2020,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,14
2020,Total number,,Manufacture of plastics products,Total number of businesses,1
2020,Total number,,Manufacture of prepared animal feeds,Total number of businesses,1
2020,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,29
2020,Total number,,Manufacture of refined petroleum products,Total number of businesses,0
2020,Total number,,Manufacture of rubber products,Total number of businesses,2
2020,Total number,,Manufacture of sports goods,Total number of businesses,0
2020,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,4
2020,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,7
2020,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,20
2020,Total number,,Medical and dental practice activities,Total number of businesses,28
2020,Total number,,Mining and quarrying n.e.c.,Total number of businesses,1
2020,Total number,,Mixed farming,Total number of businesses,0
2020,Total number,,Monetary intermediation,Total number of businesses,5
2020,Total number,,"Motion picture, video and television programme activities",Total number of businesses,4
2020,Total number,,Non-specialized wholesale trade,Total number of businesses,15
2020,Total number,,Office administrative and support activities,Total number of businesses,13
2020,Total number,,Organization of conventions and trade shows,Total number of businesses,6
2020,Total number,,Other amusement and recreation activities,Total number of businesses,45
2020,Total number,,Other education,Total number of businesses,32
2020,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,73
2020,Total number,,Other human health activities,Total number of businesses,26
2020,Total number,,Other land transport,Total number of businesses,424
2020,Total number,,Other manufacturing n.e.c.,Total number of businesses,7
2020,Total number,,Other personal service activities,Total number of businesses,44
2020,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,201
2020,Total number,,Other reservation service and related activities,Total number of businesses,6
2020,Total number,,Other specialized construction activities,Total number of businesses,17
2020,Total number,,Other specialized wholesale,Total number of businesses,15
2020,Total number,,Other telecommunications activities,Total number of businesses,21
2020,Total number,,Passenger air transport,Total number of businesses,14
2020,Total number,,Photographic activities,Total number of businesses,24
2020,Total number,,Plant propagation,Total number of businesses,1
2020,Total number,,Postal activities,Total number of businesses,5
2020,Total number,,Pre-primary and primary education,Total number of businesses,17
2020,Total number,,Printing and service activities related to printing,Total number of businesses,24
2020,Total number,,Private security activities,Total number of businesses,31
2020,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,1
2020,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,0
2020,Total number,,Processing and preserving of meat,Total number of businesses,1
2020,Total number,,Provision of services to the community as a whole,Total number of businesses,4
2020,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,2
2020,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,21
2020,Total number,,Radio broadcasting,Total number of businesses,2
2020,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,112
2020,Total number,,Real estate activities with own or leased property,Total number of businesses,11
2020,Total number,,Remediation activities and other waste management services,Total number of businesses,5
2020,Total number,,Renting and leasing of motor vehicles,Total number of businesses,37
2020,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,48
2020,Total number,,Renting and leasing of personal and household goods,Total number of businesses,6
2020,Total number,,Repair of computers and communication equipment,Total number of businesses,14
2020,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,52
2020,Total number,,Repair of personal and household goods,Total number of businesses,19
2020,Total number,,Reproduction of recorded media,Total number of businesses,0
2020,Total number,,Restaurants and mobile food service activities,Total number of businesses,286
2020,Total number,,Retail sale in non-specialized stores,Total number of businesses,548
2020,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,30
2020,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,12
2020,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,66
2020,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,9
2020,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,495
2020,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,45
2020,Total number,,Retail sale via stalls and markets,Total number of businesses,7
2020,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,10
2020,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,17
2020,Total number,,Sale of motor vehicles,Total number of businesses,15
2020,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,20
2020,Total number,,Satellite telecommunications activities,Total number of businesses,3
2020,Total number,,Sawmilling and planing of wood,Total number of businesses,2
2020,Total number,,Sea and coastal water transport,Total number of businesses,46
2020,Total number,,Secondary education,Total number of businesses,1
2020,Total number,,Security systems service activities,Total number of businesses,2
2020,Total number,,Sewerage,Total number of businesses,0
2020,Total number,,Short term accommodation activities,Total number of businesses,140
2020,Total number,,Silviculture and other forestry activities,Total number of businesses,0
2020,Total number,,Sound recording and music publishing activities,Total number of businesses,4
2020,Total number,,Specialized design activities,Total number of businesses,5
2020,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,2
2020,Total number,,Sports activities,Total number of businesses,9
2020,Total number,,Support activities for transportation,Total number of businesses,131
2020,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,1
2020,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,1
2020,Total number,,Television programming and broadcasting activities,Total number of businesses,3
2020,Total number,,Travel agency and tour operator activities,Total number of businesses,79
2020,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,7
2020,Total number,,Veterinary activities,Total number of businesses,2
2020,Total number,,Warehousing and storage,Total number of businesses,14
2020,Total number,,Waste collection,Total number of businesses,1
2020,Total number,,Waste treatment and disposal,Total number of businesses,0
2020,Total number,,"Water collection, treatment and supply",Total number of businesses,4
2020,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,6
2020,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,2
2020,Total number,,Wholesale of household goods,Total number of businesses,21
2020,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,3
2020,Total number,,Wired telecommunications activities,Total number of businesses,2
2020,Total number,,Wireless telecommunications activities,Total number of businesses,11
2021,Total number,,,Total number of businesses,2500
2021,Total number,,"Accounting, bookkeeping and auditing activities; tax consultancy",Total number of businesses,17
2021,Total number,,"Activities auxiliary to financial service activities, except insurance and pension funding",Total number of businesses,9
2021,Total number,,Activities auxiliary to insurance and pension funding,Total number of businesses,3
2021,Total number,,"Activities of business, employers and professional membership organizations",Total number of businesses,0
2021,Total number,,Activities of call centres,Total number of businesses,1
2021,Total number,,Activities of employment placement agencies,Total number of businesses,1
2021,Total number,,Activities of head offices,Total number of businesses,7
2021,Total number,,Advertising,Total number of businesses,14
2021,Total number,,Animal production,Total number of businesses,5
2021,Total number,,Architectural and engineering activities and related technical consultancy,Total number of businesses,20
2021,Total number,,Beverage serving activities,Total number of businesses,44
2021,Total number,,Building completion and finishing,Total number of businesses,5
2021,Total number,,Building of ships and boats,Total number of businesses,2
2021,Total number,,Business support service activities n.e.c.,Total number of businesses,11
2021,Total number,,Casting of metals,Total number of businesses,0
2021,Total number,,Cleaning activities,Total number of businesses,8
2021,Total number,,"Computer programming, consultancy and related activities",Total number of businesses,10
2021,Total number,,Construction of buildings,Total number of businesses,152
2021,Total number,,Construction of other civil engineering projects,Total number of businesses,2
2021,Total number,,Construction of roads and railways,Total number of businesses,11
2021,Total number,,Construction of utility projects,Total number of businesses,2
2021,Total number,,Courier activities,Total number of businesses,0
2021,Total number,,"Creative, arts and entertainment activities",Total number of businesses,6
2021,Total number,,"Data processing, hosting and related activities; web portals",Total number of businesses,6
2021,Total number,,Demolition and site preparation,Total number of businesses,1
2021,Total number,,"Electric power generation, transmission and distribution",Total number of businesses,6
2021,Total number,,"Electrical, plumbing and other construction installation activities",Total number of businesses,40
2021,Total number,,Event catering and other food service activities,Total number of businesses,14
2021,Total number,,Fishing,Total number of businesses,2
2021,Total number,,Gambling and betting activities,Total number of businesses,0
2021,Total number,,Growing of non-perennial crops,Total number of businesses,0
2021,Total number,,Growing of perennial crops,Total number of businesses,1
2021,Total number,,Higher education,Total number of businesses,2
2021,Total number,,Hospital activities,Total number of businesses,6
2021,Total number,,Inland water transport,Total number of businesses,1
2021,Total number,,Landscape care and maintenance service activities,Total number of businesses,12
2021,Total number,,Legal activities,Total number of businesses,15
2021,Total number,,"Libraries, archives, museums and other cultural activities",Total number of businesses,1
2021,Total number,,Logging,Total number of businesses,1
2021,Total number,,Maintenance and repair of motor vehicles,Total number of businesses,35
2021,Total number,,Management consultancy activities,Total number of businesses,51
2021,Total number,,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Total number of businesses,1
2021,Total number,,Manufacture of basic iron and steel,Total number of businesses,4
2021,Total number,,Manufacture of beverages,Total number of businesses,1
2021,Total number,,Manufacture of dairy products,Total number of businesses,0
2021,Total number,,Manufacture of furniture,Total number of businesses,3
2021,Total number,,Manufacture of general-purpose machinery,Total number of businesses,1
2021,Total number,,Manufacture of knitted and crocheted apparel,Total number of businesses,0
2021,Total number,,Manufacture of non-metallic mineral products n.e.c.,Total number of businesses,4
2021,Total number,,Manufacture of other chemical products,Total number of businesses,5
2021,Total number,,Manufacture of other fabricated metal products; metalworking service activities,Total number of businesses,1
2021,Total number,,Manufacture of other food products,Total number of businesses,23
2021,Total number,,Manufacture of paper and paper products,Total number of businesses,2
2021,Total number,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Total number of businesses,2
2021,Total number,,Manufacture of plastics products,Total number of businesses,2
2021,Total number,,Manufacture of prepared animal feeds,Total number of businesses,0
2021,Total number,,"Manufacture of products of wood, cork, straw and plaiting materials",Total number of businesses,8
2021,Total number,,Manufacture of refined petroleum products,Total number of businesses,0
2021,Total number,,Manufacture of rubber products,Total number of businesses,0
2021,Total number,,Manufacture of sports goods,Total number of businesses,1
2021,Total number,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Total number of businesses,2
2021,Total number,,Manufacture of vegetable and animal oils and fats,Total number of businesses,7
2021,Total number,,"Manufacture of wearing apparel, except fur apparel",Total number of businesses,11
2021,Total number,,Medical and dental practice activities,Total number of businesses,11
2021,Total number,,Mining and quarrying n.e.c.,Total number of businesses,1
2021,Total number,,Mixed farming,Total number of businesses,0
2021,Total number,,Monetary intermediation,Total number of businesses,6
2021,Total number,,"Motion picture, video and television programme activities",Total number of businesses,1
2021,Total number,,Non-specialized wholesale trade,Total number of businesses,6
2021,Total number,,Office administrative and support activities,Total number of businesses,8
2021,Total number,,Organization of conventions and trade shows,Total number of businesses,2
2021,Total number,,Other amusement and recreation activities,Total number of businesses,12
2021,Total number,,Other education,Total number of businesses,31
2021,Total number,,"Other financial service activities, except insurance and pension funding activities",Total number of businesses,114
2021,Total number,,Other human health activities,Total number of businesses,15
2021,Total number,,Other land transport,Total number of businesses,297
2021,Total number,,Other manufacturing n.e.c.,Total number of businesses,2
2021,Total number,,Other personal service activities,Total number of businesses,28
2021,Total number,,"Other professional, scientific and technical activities n.e.c.",Total number of businesses,147
2021,Total number,,Other reservation service and related activities,Total number of businesses,1
2021,Total number,,Other specialized construction activities,Total number of businesses,8
2021,Total number,,Other specialized wholesale,Total number of businesses,3
2021,Total number,,Other telecommunications activities,Total number of businesses,21
2021,Total number,,Passenger air transport,Total number of businesses,3
2021,Total number,,Photographic activities,Total number of businesses,21
2021,Total number,,Plant propagation,Total number of businesses,0
2021,Total number,,Postal activities,Total number of businesses,3
2021,Total number,,Pre-primary and primary education,Total number of businesses,6
2021,Total number,,Printing and service activities related to printing,Total number of businesses,6
2021,Total number,,Private security activities,Total number of businesses,28
2021,Total number,,"Processing and preserving of fish, crustaceans and molluscs",Total number of businesses,1
2021,Total number,,Processing and preserving of fruit and vegetables,Total number of businesses,0
2021,Total number,,Processing and preserving of meat,Total number of businesses,2
2021,Total number,,Provision of services to the community as a whole,Total number of businesses,0
2021,Total number,,"Publishing of books, periodicals and other publishing activities",Total number of businesses,0
2021,Total number,,"Quarrying of stone, sand and clay",Total number of businesses,7
2021,Total number,,Radio broadcasting,Total number of businesses,0
2021,Total number,,Real estate activities on a fee or contract basis,Total number of businesses,58
2021,Total number,,Real estate activities with own or leased property,Total number of businesses,3
2021,Total number,,Remediation activities and other waste management services,Total number of businesses,0
2021,Total number,,Renting and leasing of motor vehicles,Total number of businesses,15
2021,Total number,,"Renting and leasing of other machinery, equipment and tangible goods",Total number of businesses,14
2021,Total number,,Renting and leasing of personal and household goods,Total number of businesses,5
2021,Total number,,Repair of computers and communication equipment,Total number of businesses,6
2021,Total number,,"Repair of fabricated metal products, machinery and equipment",Total number of businesses,22
2021,Total number,,Repair of personal and household goods,Total number of businesses,1
2021,Total number,,Reproduction of recorded media,Total number of businesses,1
2021,Total number,,Restaurants and mobile food service activities,Total number of businesses,107
2021,Total number,,Retail sale in non-specialized stores,Total number of businesses,162
2021,Total number,,Retail sale of automotive fuel in specialized stores,Total number of businesses,10
2021,Total number,,Retail sale of cultural and recreation goods in specialized stores,Total number of businesses,2
2021,Total number,,"Retail sale of food, beverages and tobacco in specialized stores",Total number of businesses,44
2021,Total number,,Retail sale of information and communications equipment in specialized stores,Total number of businesses,9
2021,Total number,,Retail sale of other goods in specialized stores,Total number of businesses,408
2021,Total number,,Retail sale of other household equipment in specialized stores,Total number of businesses,14
2021,Total number,,Retail sale via stalls and markets,Total number of businesses,0
2021,Total number,,"Retail trade not in stores, stalls or markets",Total number of businesses,2
2021,Total number,,Sale of motor vehicle parts and accessories,Total number of businesses,5
2021,Total number,,Sale of motor vehicles,Total number of businesses,9
2021,Total number,,"Sale, maintenance and repair of motorcycles and related parts and accessories",Total number of businesses,3
2021,Total number,,Satellite telecommunications activities,Total number of businesses,4
2021,Total number,,Sawmilling and planing of wood,Total number of businesses,2
2021,Total number,,Sea and coastal water transport,Total number of businesses,15
2021,Total number,,Secondary education,Total number of businesses,1
2021,Total number,,Security systems service activities,Total number of businesses,0
2021,Total number,,Sewerage,Total number of businesses,1
2021,Total number,,Short term accommodation activities,Total number of businesses,44
2021,Total number,,Silviculture and other forestry activities,Total number of businesses,0
2021,Total number,,Sound recording and music publishing activities,Total number of businesses,4
2021,Total number,,Specialized design activities,Total number of businesses,9
2021,Total number,,"Spinning, weaving and finishing of textiles",Total number of businesses,19
2021,Total number,,Sports activities,Total number of businesses,3
2021,Total number,,Support activities for transportation,Total number of businesses,40
2021,Total number,,Support activities to agriculture and post-harvest crop activities,Total number of businesses,1
2021,Total number,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Total number of businesses,0
2021,Total number,,Television programming and broadcasting activities,Total number of businesses,1
2021,Total number,,Travel agency and tour operator activities,Total number of businesses,13
2021,Total number,,"Trusts, funds and similar financial entities",Total number of businesses,1
2021,Total number,,Veterinary activities,Total number of businesses,1
2021,Total number,,Warehousing and storage,Total number of businesses,9
2021,Total number,,Waste collection,Total number of businesses,0
2021,Total number,,Waste treatment and disposal,Total number of businesses,1
2021,Total number,,"Water collection, treatment and supply",Total number of businesses,3
2021,Total number,,Wholesale of agricultural raw materials and live animals,Total number of businesses,8
2021,Total number,,"Wholesale of food, beverages and tobacco",Total number of businesses,0
2021,Total number,,Wholesale of household goods,Total number of businesses,21
2021,Total number,,"Wholesale of machinery, equipment and supplies",Total number of businesses,1
2021,Total number,,Wired telecommunications activities,Total number of businesses,3
2021,Total number,,Wireless telecommunications activities,Total number of businesses,2
