Year,Series,Ministry,Department,Value
2015,Actual Spent,Ministry of Education & Training,,4463
2015,Actual Spent,Ministry of Finance and Economic Management,,4669
2015,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,415
2015,Actual Spent,Ministry of Health,,1951
2015,Actual Spent,Ministry of Infrastructure and Public Utilities,,1251
2015,Actual Spent,Ministry of Internal Affairs,,1486
2015,Actual Spent,Ministry of Justice and Social Welfare,,342
2015,Actual Spent,"Ministry of Lands, Mines & Water Resources",,265
2015,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,288
2015,Actual Spent,Ministry of Youth Development and Sports,,155
2015,Actual Spent,Prime Ministers Ministry,,563
2016,Actual Spent,Constitutional Agencies,,1321
2016,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,601
2016,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,360
2016,Actual Spent,Ministry of Education & Training,,4096
2016,Actual Spent,Ministry of Finance and Economic Management,,7694
2016,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,382
2016,Actual Spent,Ministry of Health,,1655
2016,Actual Spent,Ministry of Infrastructure and Public Utilities,,1408
2016,Actual Spent,Ministry of Internal Affairs,,1540
2016,Actual Spent,Ministry of Justice and Social Welfare,,370
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",,281
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,308
2016,Actual Spent,Ministry of Youth Development and Sports,,305
2016,Actual Spent,Prime Ministers Ministry,,649
2017,Actual Spent,Constitutional Agencies,,1497
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,756
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,374
2017,Actual Spent,Ministry of Education & Training,,4302
2017,Actual Spent,Ministry of Finance and Economic Management,,7764
2017,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,529
2017,Actual Spent,Ministry of Health,,2017
2017,Actual Spent,Ministry of Infrastructure and Public Utilities,,1557
2017,Actual Spent,Ministry of Internal Affairs,,1547
2017,Actual Spent,Ministry of Justice and Social Welfare,,389
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",,333
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,338
2017,Actual Spent,Ministry of Youth Development and Sports,,538
2017,Actual Spent,Prime Ministers Ministry,,702
2018,Actual Spent,Constitutional Agencies,,1933
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,861
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,389
2018,Actual Spent,Ministry of Education & Training,,5726
2018,Actual Spent,Ministry of Finance and Economic Management,,11465
2018,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,515
2018,Actual Spent,Ministry of Health,,2736
2018,Actual Spent,Ministry of Infrastructure and Public Utilities,,1581
2018,Actual Spent,Ministry of Internal Affairs,,2008
2018,Actual Spent,Ministry of Justice and Social Welfare,,475
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",,378
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,446
2018,Actual Spent,Ministry of Youth Development and Sports,,201
2018,Actual Spent,Prime Ministers Ministry,,749
2019,Actual Spent,Constitutional Agencies,,2050
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,1137
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,465
2019,Actual Spent,Ministry of Education & Training,,6811
2019,Actual Spent,Ministry of Finance and Economic Management,,11779
2019,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,566
2019,Actual Spent,Ministry of Health,,2880
2019,Actual Spent,Ministry of Infrastructure and Public Utilities,,1562
2019,Actual Spent,Ministry of Internal Affairs,,2497
2019,Actual Spent,Ministry of Justice and Social Welfare,,499
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",,429
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,479
2019,Actual Spent,Ministry of Youth Development and Sports,,183
2019,Actual Spent,Prime Ministers Ministry,,893
2020,Actual Spent,Constitutional Agencies,,2539
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,1817
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,631
2020,Actual Spent,Ministry of Education & Training,,7467
2020,Actual Spent,Ministry of Finance and Economic Management,,15468
2020,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,636
2020,Actual Spent,Ministry of Health,,3477
2020,Actual Spent,Ministry of Infrastructure and Public Utilities,,1638
2020,Actual Spent,Ministry of Internal Affairs,,2960
2020,Actual Spent,Ministry of Justice and Social Welfare,,582
2020,Actual Spent,"Ministry of Lands, Mines & Water Resources",,599
2020,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,579
2020,Actual Spent,Ministry of Youth Development and Sports,,197
2020,Actual Spent,Prime Ministers Ministry,,870
2021,Actual Spent,Constitutional Agencies,,2422
2021,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1812
2021,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,692
2021,Actual Spent,Ministry of Education & Training,,9532
2021,Actual Spent,Ministry of Finance and Economic Management,,11409
2021,Actual Spent,"Ministry of Fisheries, Oceans and Maritime Affairs",,387
2021,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,590
2021,Actual Spent,Ministry of Health,,3265
2021,Actual Spent,Ministry of Infrastructure and Public Utilities,,4344
2021,Actual Spent,Ministry of Internal Affairs,,3046
2021,Actual Spent,"Ministry of Lands, Mines & Water Resources",,467
2021,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1288
2021,Actual Spent,Ministry of Youth Development and Sports,,75
2021,Actual Spent,"Ministry of Youth, Justice and Community Services",,824
2021,Actual Spent,Prime Ministers Ministry,,915
2022,Actual Spent,Constitutional Agencies,,2881
2022,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1810
2022,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,697
2022,Actual Spent,Ministry of Education & Training,,9420
2022,Actual Spent,Ministry of Finance and Economic Management,,11100
2022,Actual Spent,"Ministry of Fisheries, Oceans and Maritime Affairs",,304
2022,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,666
2022,Actual Spent,Ministry of Health,,3585
2022,Actual Spent,Ministry of Infrastructure and Public Utilities,,1910
2022,Actual Spent,Ministry of Internal Affairs,,3195
2022,Actual Spent,"Ministry of Lands, Mines & Water Resources",,1039
2022,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,911
2022,Actual Spent,Ministry of Youth Development and Sports,,72
2022,Actual Spent,"Ministry of Youth, Justice and Community Services",,872
2022,Actual Spent,Prime Ministers Ministry,,975
2023,Actual Spent,Constitutional Agencies,,2707
2023,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1608
2023,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,723
2023,Actual Spent,Ministry of Education & Training,,10184
2023,Actual Spent,Ministry of Finance and Economic Management,,12231
2023,Actual Spent,"Ministry of Fisheries, Oceans and Maritime Affairs",,437
2023,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,729
2023,Actual Spent,Ministry of Health,,4568
2023,Actual Spent,Ministry of Infrastructure and Public Utilities,,1752
2023,Actual Spent,Ministry of Internal Affairs,,3252
2023,Actual Spent,"Ministry of Lands, Mines & Water Resources",,1189
2023,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1445
2023,Actual Spent,Ministry of Youth Development and Sports,,67
2023,Actual Spent,"Ministry of Youth, Justice and Community Services",,1227
2023,Actual Spent,Prime Ministers Ministry,,1322
2024,Actual Spent,Constitutional Agencies,,2826
2024,Actual Spent,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1596
2024,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,976
2024,Actual Spent,Ministry of Education & Training,,10493
2024,Actual Spent,Ministry of Finance and Economic Management,,11825
2024,Actual Spent,"Ministry of Fisheries, Oceans and Maritime Affairs",,520
2024,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",,796
2024,Actual Spent,Ministry of Health,,4460
2024,Actual Spent,Ministry of Infrastructure and Public Utilities,,4518
2024,Actual Spent,Ministry of Internal Affairs,,4576
2024,Actual Spent,"Ministry of Lands, Mines & Water Resources",,1102
2024,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1213
2024,Actual Spent,Ministry of Youth Development and Sports,,75
2024,Actual Spent,"Ministry of Youth, Justice and Community Services",,1067
2024,Actual Spent,Prime Ministers Ministry,,1606
2004,Actual Spent,Constitutional Agencies,Citizenship Office,3
2004,Actual Spent,Constitutional Agencies,Judiciary,80
2004,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,11
2004,Actual Spent,Constitutional Agencies,National Audit Office,19
2004,Actual Spent,Constitutional Agencies,Office of the Ombudsman,37
2004,Actual Spent,Constitutional Agencies,Parliament,317
2004,Actual Spent,Constitutional Agencies,President of the Republic,21
2004,Actual Spent,Constitutional Agencies,Public Prosecutor,19
2004,Actual Spent,Constitutional Agencies,Public Service Commission,57
2004,Actual Spent,Constitutional Agencies,Public Solicitor,12
2004,Actual Spent,Constitutional Agencies,State Law Office,35
2004,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",24
2004,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,72
2004,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,96
2004,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,40
2004,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,50
2004,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,6
2004,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,5
2004,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,36
2004,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,20
2004,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,20
2004,Actual Spent,Ministry of Education & Training,Director General Directorate,2004
2004,Actual Spent,Ministry of Education & Training,MoE Cabinet,19
2004,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,184
2004,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,1494
2004,Actual Spent,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,20
2004,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,54
2004,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,23
2004,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",20
2004,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,102
2004,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,27
2004,Actual Spent,Ministry of Health,Department of Health,919
2004,Actual Spent,Ministry of Health,Health Cabinet,28
2004,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,36
2004,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,50
2004,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,462
2004,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,36
2004,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,7
2004,Actual Spent,Ministry of Internal Affairs,Department of Immigration,27
2004,Actual Spent,Ministry of Internal Affairs,Department of Labour,23
2004,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,246
2004,Actual Spent,Ministry of Internal Affairs,Electoral Office,87
2004,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,33
2004,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,537
2004,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,16
2004,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,18
2004,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,87
2004,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,30
2004,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,6
2004,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,21
2004,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,32
2004,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,32
2004,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,9
2004,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",28
2004,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,12
2004,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,19
2004,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,12
2004,Actual Spent,Prime Ministers Ministry,Language Services Department,16
2004,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,74
2005,Actual Spent,Constitutional Agencies,Citizenship Office,2
2005,Actual Spent,Constitutional Agencies,Judiciary,101
2005,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,10
2005,Actual Spent,Constitutional Agencies,National Audit Office,18
2005,Actual Spent,Constitutional Agencies,Office of the Ombudsman,38
2005,Actual Spent,Constitutional Agencies,Parliament,375
2005,Actual Spent,Constitutional Agencies,President of the Republic,24
2005,Actual Spent,Constitutional Agencies,Public Prosecutor,22
2005,Actual Spent,Constitutional Agencies,Public Service Commission,65
2005,Actual Spent,Constitutional Agencies,Public Solicitor,12
2005,Actual Spent,Constitutional Agencies,State Law Office,47
2005,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",35
2005,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,72
2005,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,96
2005,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,36
2005,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,48
2005,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,10
2005,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,5
2005,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,50
2005,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,26
2005,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,26
2005,Actual Spent,Ministry of Education & Training,Director General Directorate,1936
2005,Actual Spent,Ministry of Education & Training,MoE Cabinet,24
2005,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,184
2005,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,1686
2005,Actual Spent,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,40
2005,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,54
2005,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,26
2005,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",23
2005,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,108
2005,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,27
2005,Actual Spent,Ministry of Health,Department of Health,954
2005,Actual Spent,Ministry of Health,Health Cabinet,39
2005,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,42
2005,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,52
2005,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,494
2005,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,48
2005,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,7
2005,Actual Spent,Ministry of Internal Affairs,Department of Immigration,43
2005,Actual Spent,Ministry of Internal Affairs,Department of Labour,27
2005,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,253
2005,Actual Spent,Ministry of Internal Affairs,Electoral Office,14
2005,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,160
2005,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,553
2005,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,23
2005,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,20
2005,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,107
2005,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,38
2005,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,6
2005,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,23
2005,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,25
2005,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,34
2005,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,11
2005,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",33
2005,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,19
2005,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,32
2005,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,12
2005,Actual Spent,Prime Ministers Ministry,Language Services Department,16
2005,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,107
2006,Actual Spent,Constitutional Agencies,Citizenship Office,4
2006,Actual Spent,Constitutional Agencies,Judiciary,95
2006,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,21
2006,Actual Spent,Constitutional Agencies,National Audit Office,18
2006,Actual Spent,Constitutional Agencies,Office of the Ombudsman,46
2006,Actual Spent,Constitutional Agencies,Parliament,394
2006,Actual Spent,Constitutional Agencies,President of the Republic,30
2006,Actual Spent,Constitutional Agencies,Public Prosecutor,28
2006,Actual Spent,Constitutional Agencies,Public Service Commission,87
2006,Actual Spent,Constitutional Agencies,Public Solicitor,21
2006,Actual Spent,Constitutional Agencies,State Law Office,47
2006,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",76
2006,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,77
2006,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,103
2006,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,44
2006,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,50
2006,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,9
2006,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,5
2006,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,72
2006,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,29
2006,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,29
2006,Actual Spent,Ministry of Education & Training,Director General Directorate,2425
2006,Actual Spent,Ministry of Education & Training,MoE Cabinet,27
2006,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,197
2006,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,2302
2006,Actual Spent,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,39
2006,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,60
2006,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,27
2006,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",27
2006,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,152
2006,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,36
2006,Actual Spent,Ministry of Health,Department of Health,1033
2006,Actual Spent,Ministry of Health,Health Cabinet,38
2006,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,40
2006,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,61
2006,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,437
2006,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,45
2006,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,8
2006,Actual Spent,Ministry of Internal Affairs,Department of Immigration,36
2006,Actual Spent,Ministry of Internal Affairs,Department of Labour,31
2006,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,259
2006,Actual Spent,Ministry of Internal Affairs,Electoral Office,14
2006,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,152
2006,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,525
2006,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,60
2006,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,26
2006,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,21
2006,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,125
2006,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,38
2006,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,7
2006,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,25
2006,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,32
2006,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,32
2006,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,15
2006,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",37
2006,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,25
2006,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,32
2006,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,19
2006,Actual Spent,Prime Ministers Ministry,Language Services Department,17
2006,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,91
2007,Actual Spent,Constitutional Agencies,Citizenship Office,4
2007,Actual Spent,Constitutional Agencies,Judiciary,126
2007,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,27
2007,Actual Spent,Constitutional Agencies,National Audit Office,26
2007,Actual Spent,Constitutional Agencies,Office of the Ombudsman,47
2007,Actual Spent,Constitutional Agencies,Parliament,421
2007,Actual Spent,Constitutional Agencies,President of the Republic,33
2007,Actual Spent,Constitutional Agencies,Public Prosecutor,30
2007,Actual Spent,Constitutional Agencies,Public Service Commission,117
2007,Actual Spent,Constitutional Agencies,Public Solicitor,28
2007,Actual Spent,Constitutional Agencies,State Law Office,58
2007,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",118
2007,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,80
2007,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,111
2007,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,40
2007,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,57
2007,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,8
2007,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,9
2007,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,85
2007,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,30
2007,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,30
2007,Actual Spent,Ministry of Education & Training,Director General Directorate,3207
2007,Actual Spent,Ministry of Education & Training,MoE Cabinet,29
2007,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,251
2007,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,1935
2007,Actual Spent,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,26
2007,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,76
2007,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,31
2007,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",25
2007,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,161
2007,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,44
2007,Actual Spent,Ministry of Health,Department of Health,1351
2007,Actual Spent,Ministry of Health,Health Cabinet,39
2007,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,48
2007,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,83
2007,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,1124
2007,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,61
2007,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,8
2007,Actual Spent,Ministry of Internal Affairs,Department of Immigration,59
2007,Actual Spent,Ministry of Internal Affairs,Department of Labour,38
2007,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,307
2007,Actual Spent,Ministry of Internal Affairs,Electoral Office,18
