Year,Series,Ministry,Department,Value
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",,272
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,314
2016,Original Budget,Ministry of Youth Development and Sports,,164
2016,Original Budget,Prime Ministers Ministry,,626
2017,Original Budget,Constitutional Agencies,,1387
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,636
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,367
2017,Original Budget,Ministry of Education & Training,,4463
2017,Original Budget,Ministry of Finance and Economic Management,,5754
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,417
2017,Original Budget,Ministry of Health,,1990
2017,Original Budget,Ministry of Infrastructure and Public Utilities,,1565
2017,Original Budget,Ministry of Internal Affairs,,1559
2017,Original Budget,Ministry of Justice and Social Welfare,,393
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",,326
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,345
2017,Original Budget,Ministry of Youth Development and Sports,,385
2017,Original Budget,Prime Ministers Ministry,,654
2018,Original Budget,Constitutional Agencies,,1843
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,797
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,376
2018,Original Budget,Ministry of Education & Training,,5503
2018,Original Budget,Ministry of Finance and Economic Management,,7118
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,498
2018,Original Budget,Ministry of Health,,2770
2018,Original Budget,Ministry of Infrastructure and Public Utilities,,1607
2018,Original Budget,Ministry of Internal Affairs,,1946
2018,Original Budget,Ministry of Justice and Social Welfare,,429
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",,427
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,421
2018,Original Budget,Ministry of Youth Development and Sports,,181
2018,Original Budget,Prime Ministers Ministry,,777
2019,Original Budget,Constitutional Agencies,,2065
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,1146
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,474
2019,Original Budget,Ministry of Education & Training,,6215
2019,Original Budget,Ministry of Finance and Economic Management,,7141
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,571
2019,Original Budget,Ministry of Health,,2996
2019,Original Budget,Ministry of Infrastructure and Public Utilities,,1657
2019,Original Budget,Ministry of Internal Affairs,,2423
2019,Original Budget,Ministry of Justice and Social Welfare,,682
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",,412
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,561
2019,Original Budget,Ministry of Youth Development and Sports,,190
2019,Original Budget,Prime Ministers Ministry,,807
2020,Original Budget,Constitutional Agencies,,2528
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,1344
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,659
2020,Original Budget,Ministry of Education & Training,,7299
2020,Original Budget,Ministry of Finance and Economic Management,,12503
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,679
2020,Original Budget,Ministry of Health,,3297
2020,Original Budget,Ministry of Infrastructure and Public Utilities,,1740
2020,Original Budget,Ministry of Internal Affairs,,2919
2020,Original Budget,Ministry of Justice and Social Welfare,,774
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",,576
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,649
2020,Original Budget,Ministry of Youth Development and Sports,,201
2020,Original Budget,Prime Ministers Ministry,,852
2021,Original Budget,Constitutional Agencies,,2393
2021,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1736
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,688
2021,Original Budget,Ministry of Education & Training,,9140
2021,Original Budget,Ministry of Finance and Economic Management,,9240
2021,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,457
2021,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,739
2021,Original Budget,Ministry of Health,,3167
2021,Original Budget,Ministry of Infrastructure and Public Utilities,,4202
2021,Original Budget,Ministry of Internal Affairs,,2873
2021,Original Budget,"Ministry of Lands, Mines & Water Resources",,468
2021,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1332
2021,Original Budget,Ministry of Youth Development and Sports,,67
2021,Original Budget,"Ministry of Youth, Justice and Community Services",,719
2021,Original Budget,Prime Ministers Ministry,,925
2022,Original Budget,Constitutional Agencies,,2449
2022,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1813
2022,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,710
2022,Original Budget,Ministry of Education & Training,,9434
2022,Original Budget,Ministry of Finance and Economic Management,,9662
2022,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,365
2022,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,726
2022,Original Budget,Ministry of Health,,3483
2022,Original Budget,Ministry of Infrastructure and Public Utilities,,3303
2022,Original Budget,Ministry of Internal Affairs,,3185
2022,Original Budget,"Ministry of Lands, Mines & Water Resources",,997
2022,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1164
2022,Original Budget,Ministry of Youth Development and Sports,,81
2022,Original Budget,"Ministry of Youth, Justice and Community Services",,989
2022,Original Budget,Prime Ministers Ministry,,932
2023,Original Budget,Constitutional Agencies,,2696
2023,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1698
2023,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,1121
2023,Original Budget,Ministry of Education & Training,,10070
2023,Original Budget,Ministry of Finance and Economic Management,,10295
2023,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,457
2023,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,739
2023,Original Budget,Ministry of Health,,4187
2023,Original Budget,Ministry of Infrastructure and Public Utilities,,2247
2023,Original Budget,Ministry of Internal Affairs,,3240
2023,Original Budget,"Ministry of Lands, Mines & Water Resources",,1067
2023,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1324
2023,Original Budget,Ministry of Youth Development and Sports,,74
2023,Original Budget,"Ministry of Youth, Justice and Community Services",,1020
2023,Original Budget,Prime Ministers Ministry,,1595
2024,Original Budget,Constitutional Agencies,,2962
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,1663
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,1085
2024,Original Budget,Ministry of Education & Training,,10416
2024,Original Budget,Ministry of Finance and Economic Management,,16922
2024,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,607
2024,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,796
2024,Original Budget,Ministry of Health,,4374
2024,Original Budget,Ministry of Infrastructure and Public Utilities,,7422
2024,Original Budget,Ministry of Internal Affairs,,4011
2024,Original Budget,"Ministry of Lands, Mines & Water Resources",,2101
2024,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1347
2024,Original Budget,Ministry of Youth Development and Sports,,67
2024,Original Budget,"Ministry of Youth, Justice and Community Services",,1184
2024,Original Budget,Prime Ministers Ministry,,2094
2004,Original Budget,Constitutional Agencies,Citizenship Office,3
2004,Original Budget,Constitutional Agencies,Judiciary,82
2004,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,12
2004,Original Budget,Constitutional Agencies,National Audit Office,27
2004,Original Budget,Constitutional Agencies,Office of the Ombudsman,38
2004,Original Budget,Constitutional Agencies,Parliament,279
2004,Original Budget,Constitutional Agencies,President of the Republic,19
2004,Original Budget,Constitutional Agencies,Public Prosecutor,21
2004,Original Budget,Constitutional Agencies,Public Service Commission,59
2004,Original Budget,Constitutional Agencies,Public Solicitor,14
2004,Original Budget,Constitutional Agencies,State Law Office,34
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",20
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,75
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,96
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,38
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,52
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,4
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,3
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,35
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,19
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,19
2004,Original Budget,Ministry of Education & Training,Director General Directorate,1902
2004,Original Budget,Ministry of Education & Training,MoE Cabinet,21
2004,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,197
2004,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,2324
2004,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,21
2004,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,49
2004,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,26
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",22
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,107
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,29
2004,Original Budget,Ministry of Health,Department of Health,914
2004,Original Budget,Ministry of Health,Health Cabinet,29
2004,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,35
2004,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,43
2004,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,476
2004,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,38
2004,Original Budget,Ministry of Internal Affairs,Civil Registry Office,7
2004,Original Budget,Ministry of Internal Affairs,Department of Immigration,27
2004,Original Budget,Ministry of Internal Affairs,Department of Labour,26
2004,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,258
2004,Original Budget,Ministry of Internal Affairs,Electoral Office,48
2004,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,20
2004,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,542
2004,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,16
2004,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,18
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,116
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,29
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,5
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,21
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,33
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,35
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,9
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",28
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Vanuatu Investment Promotion Authority,14
2004,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,19
2004,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,11
2004,Original Budget,Prime Ministers Ministry,Language Services Department,16
2004,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,54
2005,Original Budget,Constitutional Agencies,Citizenship Office,3
2005,Original Budget,Constitutional Agencies,Judiciary,102
2005,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,12
2005,Original Budget,Constitutional Agencies,National Audit Office,27
2005,Original Budget,Constitutional Agencies,Office of the Ombudsman,38
2005,Original Budget,Constitutional Agencies,Parliament,379
2005,Original Budget,Constitutional Agencies,President of the Republic,24
2005,Original Budget,Constitutional Agencies,Public Prosecutor,22
2005,Original Budget,Constitutional Agencies,Public Service Commission,58
2005,Original Budget,Constitutional Agencies,Public Solicitor,14
2005,Original Budget,Constitutional Agencies,State Law Office,50
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",31
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,75
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,96
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,38
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,52
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,12
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,7
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,46
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Cooperatives and Ni-Vanuatu Business Development Services,24
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Ministry of Ni-Vanuatu Business Development & Coops Cabinet,24
2005,Original Budget,Ministry of Education & Training,Director General Directorate,1970
2005,Original Budget,Ministry of Education & Training,MoE Cabinet,23
2005,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,190
2005,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,2346
2005,Original Budget,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,23
2005,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,55
2005,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,27
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",23
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,114
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,25
2005,Original Budget,Ministry of Health,Department of Health,951
