Year,Series,Principal Import,Main Country of Origin,Value
2021,Quantity (in tonnes kilogram),Medicaments,NETHERLANDS,41
2021,Quantity (in tonnes kilogram),Medicaments,UNITED STATES OF AMERICA,7
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,SINGAPORE,92083
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,AUSTRALIA,1231
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,NEW ZEALAND,961
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,280
2021,Quantity (in tonnes kilogram),Petroleum Oils and Gasesous,MALAYSIA,169
2021,Quantity (in tonnes kilogram),Rice,"CHINA, PEOPLES REPUBLIC OF",6227
2021,Quantity (in tonnes kilogram),Rice,"TAIWAN, PROVINCE OF CHINA",5163
2021,Quantity (in tonnes kilogram),Rice,VIET NAM,3994
2021,Quantity (in tonnes kilogram),Rice,FIJI,296
2021,Quantity (in tonnes kilogram),Rice,AUSTRALIA,351
2021,Quantity (in tonnes kilogram),Fish,FIJI,501
2021,Quantity (in tonnes kilogram),Fish,PAPUA NEW GUINEA,503
2021,Quantity (in tonnes kilogram),Fish,SOLOMON ISLANDS,304
2021,Quantity (in tonnes kilogram),Fish,THAILAND,393
2021,Quantity (in tonnes kilogram),Fish,"CHINA, PEOPLES REPUBLIC OF",507
2017,Price per unit (vatu per kilogram/litre),,,87
2017,Price per unit (vatu per kilogram/litre),Alcoholic Drinks,,369
2017,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,,3849
2017,Price per unit (vatu per kilogram/litre),Medicaments,,5002
2017,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,,67
2017,Price per unit (vatu per kilogram/litre),Fish,,225
2017,Price per unit (vatu per kilogram/litre),Rice,,71
2017,Price per unit (vatu per kilogram/litre),Alcoholic Drinks,AUSTRALIA,401
2017,Price per unit (vatu per kilogram/litre),Alcoholic Drinks,FRANCE,407
2017,Price per unit (vatu per kilogram/litre),Alcoholic Drinks,NEW ZEALAND,319
2017,Price per unit (vatu per kilogram/litre),Alcoholic Drinks,NEW CALEDONIA,177
2017,Price per unit (vatu per kilogram/litre),Alcoholic Drinks,UNITED KINGDOM,637
2017,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,AUSTRALIA,3709
2017,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,INDONESIA,8181
2017,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,SINGAPORE,6764
2017,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,HONG KONG,1589
2017,Price per unit (vatu per kilogram/litre),Cigarettes and Tobacco,FIJI,6217
2017,Price per unit (vatu per kilogram/litre),Medicaments,NEW ZEALAND,13794
2017,Price per unit (vatu per kilogram/litre),Medicaments,AUSTRALIA,2813
2017,Price per unit (vatu per kilogram/litre),Medicaments,INDIA,8256
2017,Price per unit (vatu per kilogram/litre),Medicaments,UNITED STATES OF AMERICA,14057
2017,Price per unit (vatu per kilogram/litre),Medicaments,NETHERLANDS,2079
2017,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,SINGAPORE,63
2017,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,AUSTRALIA,130
2017,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,NEW ZEALAND,97
2017,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,278
2017,Price per unit (vatu per kilogram/litre),Petroleum Oils and Gasesous,MALAYSIA,250
2017,Price per unit (vatu per kilogram/litre),Fish,SOLOMON ISLANDS,369
2017,Price per unit (vatu per kilogram/litre),Fish,THAILAND,191
2017,Price per unit (vatu per kilogram/litre),Fish,FIJI,297
